"subject","delta_global_efficiency","delta_synch_entropy_assoc"
"sub-P1",0.105621256951263,-0.654240356710461
"sub-P3",-0.07025580751036,0.295438910210331
"sub-P4",0.399176320434405,-1.22884765756703
"sub-P5",0.164619905125433,-0.371526682713295
"sub-P6",0.095240173028214,-0.508010707170489
"sub-P7",0.117297559548794,-0.577045251164024
