Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_000	12.337124611140421	34.639357504410455	0.3157488657173317	0.14799096422234176	1680	2136	0.6814106395696354	0.7371687753640487	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_001	8.71187184583055	8.612633859569263	0.09434450310134426	0.1302109516431612	267	228	0.4052532833020638	0.706140350877193	0.0	0.0	-1	20.46319831239458	accepted	Low variance
ICA_002	7.951328045082051	9.197649704846643	0.0647665097083336	0.0972325488480327	0	246	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_003	6.661625623634066	17.10797423668572	0.3096492851094614	0.44602912195102157	427	4575	0.0	0.03446346648763567	-13.746551739484572	4.08156858505685e-29	-1	n/a	rejected	Unlikely BOLD
ICA_004	14.108112492728674	45.458037287444924	0.5939586652994867	0.15458850390276704	1651	2158	0.631578947368421	0.7400839944003733	18.190988106392307	4.3357728085656464e-68	1	n/a	rejected	Unlikely BOLD
ICA_005	8.107026649617916	8.74832571814946	0.07125169367921988	0.09983014337295021	0	306	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_006	8.58711429676184	9.203656916972811	0.1047710895619775	0.15891836745795015	134	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_007	7.796686967963282	9.420114644981016	0.07271526351914634	0.11441290939872663	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_008	7.36335721993053	7.817164976624562	0.06691150163882317	0.10734827713861203	0	144	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_009	9.069502326084217	9.537098630354395	0.11847379500498491	0.1819895615285824	377	189	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_010	14.69453756957008	10.490841157485843	0.15023390971387532	0.1933583895909511	3835	626	0.16666666666666666	0.3514376996805112	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_011	44.232187011017686	9.215158695207807	0.14221712364608738	0.24299283919088271	13409	3473	0.5688262195121951	0.29870695917477846	45.29994960689359	0.0	1	11.886609157064875	accepted	Likely BOLD
ICA_012	22.84218801853323	11.876219874654753	1.0909836936534805	1.697326447770263	9662	2969	0.4421634014172572	0.2810717372515125	0.0	0.0	-1	24.689437066062148	accepted	Likely BOLD
ICA_013	8.062747764062419	8.630355920414893	0.06623519350619285	0.10201542297154932	0	273	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_014	10.412326246450274	10.000366027353802	0.4033849370340222	0.6353379595746045	1483	940	0.0	0.0	0.5229219128863783	0.6010935217121063	1	33.60172610333988	accepted	Likely BOLD
ICA_015	6.3009090585477985	7.855697418271911	0.11410677378017119	0.1672627479219323	0	441	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_016	7.812733579801414	8.65116272105302	0.07634907452737677	0.1053984777187074	0	232	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_017	6.496484903792351	17.622192573764544	0.3193470762607898	0.4660645576148267	916	6352	0.0	0.07800684549868662	-23.288587505942928	3.4145053420105523e-76	1	n/a	rejected	Unlikely BOLD
ICA_018	40.983260852999386	8.905787491584771	0.09579198556346068	0.1680920538247631	10500	2365	0.5443752714637324	0.35433906216847016	47.73407354813341	0.0	-1	10.240923403493053	accepted	Likely BOLD
ICA_019	8.523938044694217	8.221062913843264	0.08344487402323296	0.1357210155051852	0	0	0.0	0.0	0.0	0.0	-1	23.351332481993715	accepted	Low variance
ICA_020	6.7037074817147895	11.864104486382436	0.09362869485561212	0.14534606579101003	120	787	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_021	7.950691118914569	8.60590960797712	0.06535368100418315	0.10126344327206266	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_022	6.439064035840811	19.465350674079637	0.3878734504660273	0.5611702973394793	746	9373	0.2896341463414634	0.16305978144418257	-22.292182059514115	4.2376646205361293e-72	1	n/a	rejected	Unlikely BOLD
ICA_023	8.684067228486226	9.377055733878294	0.1644682313845311	0.1539480661733075	260	277	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_024	7.8235940915670925	7.871171938028501	0.06306127296807057	0.09982442872124894	0	190	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_025	8.323879625858115	8.824300797336903	0.09212781063445287	0.12862951904561748	287	123	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_026	8.228011178993667	8.314999266426705	0.07124793700616859	0.10912158502888289	198	125	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_027	7.754481486301851	9.501276032673752	0.09641990577085696	0.11141585605820116	142	235	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_028	7.959159367336144	8.53832520005381	0.05640928473230453	0.09127731610991276	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_029	9.375792586220125	8.142851705047766	0.09199415077361982	0.14510020246342684	606	102	0.0	0.0	0.0	0.0	1	16.07589782338289	accepted	Low variance
ICA_030	8.36386944421247	9.253530658891917	0.07213412616743047	0.10659496118726106	0	139	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_031	12.409588705074594	16.153284158647562	0.6469148258334273	0.4304491116971511	1323	1739	0.3828460038986355	0.17864537119195503	6.543200598107642	4.27347642018728e-10	1	n/a	rejected	Unlikely BOLD
ICA_032	8.332848139908057	8.372946382330278	0.07632091920549693	0.11411927112780715	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_033	8.828772274716021	7.99397282583427	0.08416805421341829	0.14933784832046995	536	0	0.0	0.0	0.0	0.0	1	26.233301974784005	accepted	Low variance
ICA_034	37.055103961624354	9.949271419561647	0.09314639314894638	0.16666370850640272	3746	1467	0.3959777143633646	0.4319890635680109	51.27503039929142	0.0	-1	19.67859431520581	accepted	Likely BOLD
ICA_035	6.195166793446289	12.181590706994067	0.08337827645013327	0.130333037606441	142	692	0.0	0.2988871224165342	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_036	7.5381614955263	8.7055875095564	0.07019892314552864	0.09896774970712084	145	203	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_037	24.172211800296523	12.844987415126926	17.341706352262882	14.365051771829412	24810	4307	0.4235971943887776	0.11133062173155142	0.0	0.0	-1	41.819499790926116	accepted	Likely BOLD
ICA_038	8.01035424373807	8.934330721863883	0.08055271116883203	0.10716662436118282	0	215	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_039	8.034282728599566	7.859739056467381	0.06034917850371729	0.10056661840560284	153	0	0.0	0.0	0.0	0.0	-1	13.073759491134783	accepted	Low variance
