"metric","mean_PSIL","mean_MTP","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR"
"POS",0.506116792264026,0.349047325663509,0.157069466600517,0.0750206941061091,0.0591720678258594,0.915316082261771,1.42651798640803,0.45872418408539,"parallel (t + Wilcoxon)",0.150041388212218
"NEG",-0.0676244292277594,-0.0887430118942125,0.0211185826664532,0.507359272296929,0.674986713970489,0.29134778020626,0.534776815477447,0.492001412631607,"parallel (t + Wilcoxon)",0.507359272296929
"RATIO",10.1767114737825,4.76609888076016,5.41061259302237,0.162623432598235,0.29450739368011,0.668173059999121,1.17109223375966,0.142401383399514,"parallel (t + Wilcoxon)",NA
