"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",96.0849482535668,0.750951868362933,44,0,0.00194555614459258,0.768594102614918,-0.0259773584299026,0.422144956852492,"R2_peripheral",1
"7Networks_LH_Vis_2",122.444477273134,0.938736920284509,82,213,0.00238497806716739,0.559186954109384,0.944411064178925,0.66252216411236,"R3_nonhub_connector",1
"7Networks_LH_Vis_3",99.3839157244523,0.738092303235925,50,203,0.00214916361069903,0.51486000076529,-0.33827132344822,0.609581395431843,"R2_peripheral",1
"7Networks_LH_Vis_4",120.666014867658,0.959959734824707,92,257,0.00243937895507276,0.559379048550463,0.6463470775735,0.681104691973575,"R3_nonhub_connector",1
"7Networks_LH_Vis_5",50.1631895655811,0.344488194420873,9,0,0.0015201528452768,0.851364708684899,-1.89161621087537,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",107.144893185877,0.813286677473436,61,10,0.00210556814232714,0.617914789958226,-0.112322383232065,0.632284361505742,"R3_nonhub_connector",1
"7Networks_LH_Vis_7",97.085407473918,0.780701887221562,42,0,0.00210085217416761,0.831138293355728,0.741685586553843,0.332255303884458,"R2_peripheral",1
"7Networks_LH_Vis_8",74.4966135501266,0.464007799014534,34,260,0.00174382628320154,0.54299348247519,1.21361532231543,0.132783651406498,"R2_peripheral",2
"7Networks_LH_Vis_9",80.8625296276125,0.62673994427208,29,0,0.00188851649021582,0.875014515593341,-0.00987202241884867,0.0467408074319557,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",115.24565626767,0.923904343308081,80,38,0.00233880966707898,0.615784567908597,1.17423172192651,0.62067467640274,"R3_nonhub_connector",1
"7Networks_LH_Vis_11",58.5318721223399,0.423245771648058,16,0,0.00170876367483293,0.88457285180727,-1.35330516905541,0.0962779054805958,"R2_peripheral",1
"7Networks_LH_Vis_12",80.5386998992929,0.602355004005282,27,30,0.0019201395355263,0.709198546428042,-1.3394794535347,0.63305653706346,"R3_nonhub_connector",1
"7Networks_LH_Vis_13",108.200479886352,0.879065002485483,69,88,0.00226335360888786,0.661696543531656,1.11923840370537,0.545195130398154,"R2_peripheral",1
"7Networks_LH_Vis_14",87.7557196190753,0.698210461461805,39,2,0.00205453689811577,0.806218485124903,0.360360845738996,0.324143528038806,"R2_peripheral",1
"7Networks_LH_SomMot_1",91.5168924842778,0.734242489078457,55,2,0.00192662091553025,0.848867039762814,0.331602561517911,0.183398830216627,"R2_peripheral",3
"7Networks_LH_SomMot_2",99.3071899382867,0.788171149599843,69,12,0.00202771302207964,0.699185334621842,-0.258807567368408,0.506055788181316,"R2_peripheral",3
"7Networks_LH_SomMot_3",93.4332909555096,0.745443389191117,65,18,0.00195186868924769,0.729679896164873,0.120495483100197,0.382028287533528,"R2_peripheral",3
"7Networks_LH_SomMot_4",90.5239116028135,0.717551639729566,50,8,0.00192780883558186,0.891812131901307,0.729925646437949,0.0790917054311129,"R2_peripheral",3
"7Networks_LH_SomMot_5",86.8490068689689,0.685973550813914,51,4,0.0018841808930547,0.855200658978656,0.735100449451577,0.0795227749979563,"R2_peripheral",3
"7Networks_LH_SomMot_6",81.5279984921705,0.599689193930602,23,8,0.00173378565139848,0.754381875816534,-0.794330899571701,0.62953004097779,"R3_nonhub_connector",4
"7Networks_LH_SomMot_7",106.29831156816,0.830637167770351,78,471,0.00229048857948927,0.5687206661473,0.520246340519292,0.716823763350305,"R3_nonhub_connector",4
"7Networks_LH_SomMot_8",118.200553356917,0.958219373810926,98,156,0.00240607023072523,0.593367839352508,1.13248636466525,0.582874851658918,"R2_peripheral",3
"7Networks_LH_SomMot_9",114.229219069438,0.88388834706216,72,30,0.00229616713456533,0.603109639597412,1.45362259112202,0.660371375509476,"R3_nonhub_connector",4
"7Networks_LH_SomMot_10",112.872836241184,0.851661788145045,74,346,0.00225719267352688,0.521091743229785,-0.218553034106306,0.689091150437155,"R3_nonhub_connector",1
"7Networks_LH_SomMot_11",68.5738575400658,0.543782834050376,23,0,0.001750121430351,0.845026290486796,-2.75953721246882,0.580710078005737,"R2_peripheral",3
"7Networks_LH_SomMot_12",123.168151879206,0.968770903884348,98,375,0.00243709679107852,0.543007908851223,1.63113009440455,0.675811605340471,"R3_nonhub_connector",4
"7Networks_LH_SomMot_13",117.36947536527,0.945163958632018,99,82,0.00238995188054369,0.587415107557536,0.327102153141106,0.639507313246892,"R3_nonhub_connector",3
"7Networks_LH_SomMot_14",116.45119649085,0.941784065678628,99,98,0.00238471590476619,0.587247122246393,0.848097012776001,0.617212116161829,"R2_peripheral",3
"7Networks_LH_SomMot_15",126.007198763055,0.960265131373067,86,1015,0.0024994536593128,0.485547687980193,2.17518688498154,0.68865183151472,"R3_nonhub_connector",4
"7Networks_LH_SomMot_16",105.219961191815,0.81231257459818,61,20,0.00210320452158926,0.669041978683293,-0.0565433649197411,0.664942174078068,"R3_nonhub_connector",4
"7Networks_LH_DorsAttn_Post_1",111.670811851589,0.833148550307053,65,167,0.00224418060546265,0.521098232800289,-0.979843613297999,0.749486312536864,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_2",108.53957801937,0.874652443247718,81,80,0.0022587556054549,0.610285677911036,-0.293469871559669,0.63668083788798,"R3_nonhub_connector",3
"7Networks_LH_DorsAttn_Post_3",97.8960265200277,0.78112356892491,55,11,0.00215552524128933,0.667913199675992,0.0580231692087608,0.670223049072062,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_4",108.728323870524,0.853707005685244,68,117,0.00223208036402954,0.607905481882835,0.257148654483795,0.723827463483177,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_5",109.420052648834,0.861187309896613,69,76,0.0022378040174889,0.628998261778752,-1.25997717073656,0.715962302024793,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_6",96.7185997034474,0.770992213119554,48,12,0.00216363985687407,0.70360413516093,0.987862694536688,0.627625388037167,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_7",116.169981905857,0.929618577052151,85,227,0.00239084350211648,0.57228109091984,0.498914089690037,0.686716085294453,"R3_nonhub_connector",5
"7Networks_LH_DorsAttn_Post_8",100.673623157349,0.812926914620687,63,8,0.00216370284821886,0.663382673449484,0.00843879327576964,0.639231006624379,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_9",92.8520814545308,0.687776103259853,39,257,0.00204201072029212,0.54742970390247,-1.17129023975586,0.701447731236597,"R3_nonhub_connector",1
"7Networks_LH_DorsAttn_Post_10",80.1462936969378,0.650800271142541,45,16,0.00192642858854056,0.755912631636148,-1.10901534475407,0.358948322727714,"R2_peripheral",3
"7Networks_LH_DorsAttn_FEF_1",110.012193129948,0.891331247426524,85,77,0.00230780841111528,0.626326707322237,0.0910049041383418,0.621000468660277,"R3_nonhub_connector",3
"7Networks_LH_DorsAttn_FEF_2",78.740667576244,0.616548532767582,32,14,0.0019836425401263,0.741205076502158,-0.761534318811592,0.604931284367729,"R2_peripheral",5
"7Networks_LH_DorsAttn_PrCv_1",84.1924581918478,0.610357647973981,24,17,0.00196291808889986,0.636935443358733,-1.96108597950721,0.645300575626658,"R3_nonhub_connector",5
"7Networks_LH_SalVentAttn_ParOper_1",82.6621663349132,0.638774894207959,46,1,0.00185190170587483,0.914497150885109,0.460197965572068,0,"R1_ultra_peripheral",3
"7Networks_LH_SalVentAttn_ParOper_2",83.3421129263596,0.665473854298275,57,68,0.0019219425369051,0.739579769079285,-0.0524331727780533,0.355498543586337,"R2_peripheral",3
"7Networks_LH_SalVentAttn_ParOper_3",89.2340385952813,0.698856199061059,58,59,0.00198657293531336,0.770041637944588,0.372627550186455,0.290835705527778,"R2_peripheral",3
"7Networks_LH_SalVentAttn_FrOperIns_1",91.6359773118882,0.72215747967857,53,0,0.00193977169780881,0.867357814724562,0.711390835933348,0.103436102535658,"R2_peripheral",3
"7Networks_LH_SalVentAttn_FrOperIns_2",100.898139345954,0.80573017850399,77,17,0.00213955464626456,0.640913807209667,-0.310057202580554,0.574382008192954,"R2_peripheral",3
"7Networks_LH_SalVentAttn_FrOperIns_3",81.1376514097908,0.625742694089472,41,0,0.00180366266299766,0.960469257471651,-0.262635776005173,0.0353570149964963,"R1_ultra_peripheral",3
"7Networks_LH_SalVentAttn_FrOperIns_4",83.2485028127693,0.633414734142519,26,141,0.00190737762278548,0.530387029447235,-0.627211014445904,0.630891973535578,"R3_nonhub_connector",4
"7Networks_LH_SalVentAttn_PFCl_1",93.2356165156462,0.70313189582873,36,75,0.0020996867080513,0.634111455074985,-0.550727370901203,0.733282844483918,"R3_nonhub_connector",4
"7Networks_LH_SalVentAttn_Med_1",106.818279255893,0.863990067098312,84,163,0.00226570378545736,0.652838677784447,0.89193115467352,0.512458195373286,"R2_peripheral",3
"7Networks_LH_SalVentAttn_Med_2",99.5048237527439,0.802596185797883,77,64,0.00217935304518968,0.634764735441885,-0.218997275322741,0.547950996657025,"R2_peripheral",3
"7Networks_LH_SalVentAttn_Med_3",102.796275926745,0.825836439393933,77,150,0.00220164096948024,0.657351064897367,0.232215148011469,0.510881080969761,"R2_peripheral",3
"7Networks_LH_Limbic_OFC_1",71.4450950983988,0.517833188615203,1,0,0.00114595341911434,0,-1.72129698195865,0,"R1_ultra_peripheral",4
"7Networks_LH_Limbic_OFC_2",76.1218657335086,0.540628171554138,17,203,0.00175980279497292,0.514699289316647,-0.910336991426014,0.562331621999076,"R2_peripheral",4
"7Networks_LH_Limbic_TempPole_1",22.7012822519845,0.15791285338081,0,0,NA,0,0,0,"R1_ultra_peripheral",6
"7Networks_LH_Limbic_TempPole_2",26.4942517167797,0.165310790221868,0,0,NA,0,0,0,"R1_ultra_peripheral",7
"7Networks_LH_Limbic_TempPole_3",52.2481795727514,0.344710387219759,0,0,NA,0,0,0,"R1_ultra_peripheral",8
"7Networks_LH_Limbic_TempPole_4",87.851312283428,0.694784996231574,42,1,0.00179094737945509,0.8400412120298,-1.5938631901035,0.371200671891859,"R2_peripheral",3
"7Networks_LH_Cont_Par_1",103.675688840044,0.76243769000532,47,303,0.00219805278448946,0.500560576549162,0.304515266018603,0.693659736006661,"R3_nonhub_connector",5
"7Networks_LH_Cont_Par_2",104.663845805259,0.763485364484976,61,417,0.00222444820424006,0.4491449864264,0.379355041846028,0.727972083310012,"R3_nonhub_connector",5
"7Networks_LH_Cont_Par_3",108.629830498915,0.85135014971794,63,162,0.00228273943919287,0.579056629980109,1.47729114764101,0.713555837585881,"R3_nonhub_connector",5
"7Networks_LH_Cont_Temp_1",70.3281199855883,0.454292407539399,25,68,0.00168781941469125,0.607579230717354,-0.25206874977228,0.317523573287249,"R2_peripheral",2
"7Networks_LH_Cont_OFC_1",95.5961217427413,0.694606091160967,41,94,0.00210777806482531,0.442479663208284,-0.186897726700733,0.70767694136745,"R3_nonhub_connector",4
"7Networks_LH_Cont_PFCl_1",90.3927093117305,0.620547555934091,34,140,0.00196268401314819,0.504668039774058,-0.01110576126469,0.556035568268507,"R2_peripheral",2
"7Networks_LH_Cont_PFCl_2",78.0438558529148,0.541703900286178,27,30,0.00181198032435591,0.497294671610767,-0.653074301347629,0.566917659115317,"R2_peripheral",2
"7Networks_LH_Cont_PFCl_3",111.260626783015,0.893428966990966,99,315,0.0023831292724305,0.553916396023397,-0.0646360181106798,0.674579742358032,"R3_nonhub_connector",3
"7Networks_LH_Cont_PFCl_4",89.841756248732,0.617936191750051,31,105,0.00195688437312105,0.563455986125891,-0.338093240604293,0.587087516633731,"R2_peripheral",2
"7Networks_LH_Cont_PFCl_5",83.5063427599209,0.546513992557793,40,442,0.00190508174231637,0.445118478555521,1.15013262591474,0.342666033567413,"R2_peripheral",2
"7Networks_LH_Cont_pCun_1",82.2401843632986,0.587054800519177,32,107,0.00190265096914511,0.540175855265398,-0.635286484290744,0.62534952291973,"R3_nonhub_connector",2
"7Networks_LH_Cont_Cing_1",93.6909897666251,0.725282579952365,44,57,0.00206172086245347,0.634025111564371,-1.11488283439253,0.710972084664474,"R3_nonhub_connector",1
"7Networks_LH_Cont_Cing_2",51.8730740511299,0.360261647002236,0,0,NA,0,0,0,"R1_ultra_peripheral",9
"7Networks_LH_Default_Temp_1",64.1019677643785,0.395385904559137,22,1,0.0014701392153328,0.738731769425607,0.0788272190787564,0,"R1_ultra_peripheral",2
"7Networks_LH_Default_Temp_2",42.3235097448746,0.262657436658717,3,0,0.00114665979208598,1,-1.92861572745909,0,"R1_ultra_peripheral",2
"7Networks_LH_Default_Temp_3",53.0849206880371,0.367457407259188,0,0,NA,0,0,0,"R1_ultra_peripheral",10
"7Networks_LH_Default_Temp_4",71.5514402596426,0.444167483892796,30,32,0.00170307701386357,0.60360281573953,1.02153519339742,0.0882493987280237,"R2_peripheral",2
"7Networks_LH_Default_Temp_5",86.2242492298632,0.595620840156715,35,566,0.00197687632844557,0.421017516957788,-0.0119232429694274,0.527037214095845,"R2_peripheral",2
"7Networks_LH_Default_Par_1",52.9924380299744,0.331943803527584,15,23,0.0016013266651234,0.651386761165087,-0.949718582885288,0.234387623757661,"R2_peripheral",2
"7Networks_LH_Default_Par_2",74.4435994479528,0.494920476220264,34,121,0.00180637174947347,0.505405495979237,0.356394011480434,0.414934722773249,"R2_peripheral",2
"7Networks_LH_Default_Par_3",74.4266895912328,0.588625504438775,26,28,0.00181199139106912,0.696469727184943,-2.42799845323159,0.454307209369846,"R2_peripheral",3
"7Networks_LH_Default_Par_4",74.3338420217996,0.463910888861015,40,209,0.00177125881953908,0.526081766156148,1.64944662084494,0.190896841602683,"R2_peripheral",2
"7Networks_LH_Default_PFC_1",62.3624570318168,0.41904295663135,14,7,0.00155229633391434,0.710242223781362,-1.16273712211082,0.388420612264452,"R2_peripheral",2
"7Networks_LH_Default_PFC_2",64.4956871139333,0.407144653318991,21,1,0.00147521112868508,0.748163746752598,-0.120884670466065,0,"R1_ultra_peripheral",2
"7Networks_LH_Default_PFC_3",56.2486499984373,0.361010695863116,17,0,0.00162578329900403,0.778306466851894,-0.488813121230969,0.239942857668322,"R2_peripheral",2
"7Networks_LH_Default_PFC_4",79.1217863893856,0.495217101150249,39,410,0.00181056214442663,0.503772369436896,1.50010094134164,0.181093143597181,"R2_peripheral",2
"7Networks_LH_Default_PFC_5",62.8513269983897,0.393748724620204,21,17,0.00166261667938342,0.699026671878591,0.0762364394763992,0.185584975288354,"R2_peripheral",2
"7Networks_LH_Default_PFC_6",78.5818087578033,0.512903850376627,33,154,0.00175895539969113,0.499786587928043,0.59146157542389,0.233786630197053,"R2_peripheral",2
"7Networks_LH_Default_PFC_7",70.323196884638,0.429769172521819,24,34,0.00159097799989486,0.704241643089755,0.674242001467425,0,"R1_ultra_peripheral",2
