"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",126.083093325311,0.681864375930841,36,16,0.00206076350723454,0.695411765260222,1.45211014963615,0.0738926209293032,"R2_peripheral",1
"7Networks_LH_Vis_2",120.144684086043,0.640822554547661,30,44,0.00194679674578907,0.782846581085836,0.848605850751232,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_3",121.75169888899,0.656763992424611,28,27,0.0021051625898122,0.714810208946854,0.119339679819382,0.112949775347115,"R2_peripheral",1
"7Networks_LH_Vis_4",113.514691687416,0.614818717429299,27,3,0.00195268486459103,0.827609558723648,0.773063503392696,0.0440878409227703,"R1_ultra_peripheral",1
"7Networks_LH_Vis_5",67.1869080626739,0.362375192723437,1,0,0.0012160198038804,0,-2.84275706036499,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",128.479032568245,0.704847758987676,30,1,0.0021030056653007,0.682147900181021,0.0348567385805362,0.242254371612047,"R2_peripheral",1
"7Networks_LH_Vis_7",100.133608391824,0.531866581096692,25,10,0.00177512373917638,0.858904493373132,0.29311671164314,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_8",141.902165224265,0.783663243299378,61,77,0.00244895527854762,0.525746910742939,0.0149089835571021,0.553895012688397,"R2_peripheral",1
"7Networks_LH_Vis_9",89.0247212125203,0.465824536824211,22,0,0.00167535394525723,0.86536576404728,-0.336703119161968,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",112.261640930838,0.608635110505086,25,7,0.00196424009376948,0.855143416369311,0.564595719520315,0.0462002342560919,"R1_ultra_peripheral",1
"7Networks_LH_Vis_11",106.965546879607,0.568561790215449,26,59,0.00195159638158755,0.833416634989352,0.355724767818623,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",141.866905306527,0.778627424629124,53,445,0.00240269742550372,0.465055956425208,0.111387182064145,0.600681790047775,"R2_peripheral",1
"7Networks_LH_Vis_13",128.328118511652,0.693849785507064,31,0,0.00208101101474436,0.746980829825841,0.903587446006957,0.0433260212624258,"R1_ultra_peripheral",1
"7Networks_LH_Vis_14",101.020306213962,0.53504184097148,31,1,0.0018894909939875,0.783099569274042,1.11194851741174,0,"R1_ultra_peripheral",1
"7Networks_LH_SomMot_1",157.624521700339,0.896519838207119,84,1,0.00264811654409391,0.764729115536514,0.749640498016252,0.237137533968268,"R2_peripheral",2
"7Networks_LH_SomMot_2",176.241350454209,1,112,576,0.00301448802181598,0.564667366232024,1.18715620340534,0.443496008296209,"R2_peripheral",2
"7Networks_LH_SomMot_3",170.32250485537,0.975047075412794,93,163,0.00280534375578713,0.69515601152426,1.42074955453068,0.266609480898428,"R2_peripheral",2
"7Networks_LH_SomMot_4",143.405778765721,0.834148552801126,71,4,0.00247978531578834,0.868178536997214,0.905965405929904,0.0771288542083344,"R2_peripheral",2
"7Networks_LH_SomMot_5",153.890207152522,0.885660398506637,81,76,0.00260693920395065,0.797552419682014,0.990885016170823,0.181152423868,"R2_peripheral",2
"7Networks_LH_SomMot_6",138.076689235932,0.782112009331815,53,0,0.00229710051328642,0.910221043216454,-0.379914259393853,0.085027651384378,"R2_peripheral",2
"7Networks_LH_SomMot_7",159.380577765015,0.904024714802628,84,10,0.00264124442994892,0.737254121952562,0.86248468297293,0.209173209858311,"R2_peripheral",2
"7Networks_LH_SomMot_8",166.525726089669,0.938988717497384,96,230,0.00279504024140129,0.651194613780255,0.908916907482292,0.333135622903281,"R2_peripheral",2
"7Networks_LH_SomMot_9",109.952766784766,0.624835017217326,29,0,0.00192234143210162,0.933464106756414,-1.62472659515712,0.0659092277012037,"R2_peripheral",2
"7Networks_LH_SomMot_10",132.176781696696,0.750433919855709,52,7,0.00220464667094915,0.922840022398725,-0.483699932335713,0.0653031345145805,"R2_peripheral",2
"7Networks_LH_SomMot_11",129.549218539644,0.754274649569034,62,1,0.00235898111829156,0.906624669105533,0.270071079221419,0.075291846679344,"R2_peripheral",2
"7Networks_LH_SomMot_12",134.579186938766,0.766300104223703,60,19,0.00225178901011547,0.860704534462416,-0.0612363697065612,0.0768000059405529,"R2_peripheral",2
"7Networks_LH_SomMot_13",145.301186980269,0.830765546109676,73,32,0.00248871152172114,0.82766232863228,0.484179186115003,0.166076198135489,"R2_peripheral",2
"7Networks_LH_SomMot_14",132.327589051853,0.755323356431459,58,0,0.00220825473885349,0.890109362322636,-0.0917164688957759,0.0517818891100953,"R2_peripheral",2
"7Networks_LH_SomMot_15",136.552411382613,0.755494229753676,41,0,0.00223292591944461,0.847657444284485,-1.47308388406382,0.337689962006947,"R2_peripheral",2
"7Networks_LH_SomMot_16",137.454602296102,0.786108197298831,60,24,0.00231968657010495,0.915164479038695,0.0801051224167002,0.0492875071084958,"R1_ultra_peripheral",2
"7Networks_LH_DorsAttn_Post_1",140.91756269985,0.7580393909764,45,589,0.00233035672569634,0.433408798143359,0.122699731052648,0.480125502873673,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_2",138.149385924477,0.769472854808121,58,42,0.00243008335747293,0.631821455282245,-1.48620178660475,0.610851247841683,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_3",121.238511265878,0.657889432419387,41,51,0.00217315780471831,0.599242485455069,1.37432303213714,0.108773312932603,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_4",141.858462574228,0.796120759493165,74,138,0.00251228915170765,0.642229485100831,-1.31722443635945,0.531285864193374,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_5",143.523775124758,0.798657118421707,68,26,0.00250374488213867,0.622523316007992,-0.773561204905066,0.596530843646564,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_6",141.102927373228,0.783817966224767,55,71,0.0024104855524482,0.614634776708386,-0.456197424739409,0.558701178155157,"R2_peripheral",1
"7Networks_LH_DorsAttn_Post_7",136.189584291537,0.754011267511748,48,27,0.00242098486270966,0.527365329410319,-0.211675092624237,0.597103005601369,"R2_peripheral",1
