Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_000	7.615331928103495	13.652230310915856	0.02069097490898393	0.03638954570441699	2171	6242	0.0	0.13477698771816418	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_001	7.557560406882234	18.447459620500023	0.03249864536287743	0.035539596622839724	1941	6925	0.06717000781046602	0.1832162661737523	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_002	34.70183239582349	10.489268651721227	0.052677946407610705	0.10753524082726254	12482	9301	0.49452936444086887	0.20177976742916418	50.592311075591105	0.0	-1	37.94193724886614	accepted	Likely BOLD
ICA_003	7.694326000816209	12.823324788785152	0.01918730833345677	0.035490372350035035	1699	6352	0.0	0.07874661635632844	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_004	8.674318065676761	8.845969524713176	0.031948475526303276	0.07364707377309583	1614	4661	0.0448318804483188	0.07201600355634585	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_005	7.1317748501655105	12.895346396887462	0.019042006092147578	0.031824421025172224	1824	6263	0.0	0.11462256427050925	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_006	46.458329885618085	9.941061906235522	0.08092551939973343	0.1531277302634333	12154	7957	0.4633220734809625	0.16989453499520613	39.67236533767755	0.0	1	38.9874835797563	accepted	Likely BOLD
ICA_007	7.507429955284218	12.249149207450422	0.018366256904484315	0.034647741929134786	2196	6414	0.0	0.12289079910856415	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_008	8.321867549810989	14.607604915736806	0.03944845828151793	0.04379856917167702	2178	7138	0.0594059405940594	0.14363143631436315	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_009	13.089811191092668	17.514508384815446	0.07681360177328138	0.12887596530818396	6295	12229	0.16689400625852524	0.16384347021983103	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_010	12.467517257898896	13.402385403853918	0.31159351081204184	0.5669411239584494	5400	6032	0.20415738678544915	0.17415307402760352	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_011	8.648564897878638	9.617830566336298	0.026006031427640373	0.06067265587729426	1466	5223	0.0	0.09673202614379085	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_012	11.716144713677735	106.52581320332469	1.8375462212746532	0.5043619577173124	4441	12125	0.50139146567718	0.47947413061916877	7.684534691644687	1.8230807300572664e-14	-1	n/a	rejected	Unlikely BOLD
ICA_013	6.703748429580673	22.1414404395145	0.039617492748478735	0.05794166238068276	2026	11119	0.04812701562887621	0.24569980083288068	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_014	9.31025300334345	9.75825869987742	0.031174321047982435	0.07065780022147324	1436	5181	0.0	0.04190327002153906	0.0	0.0	1	n/a	rejected	Unlikely BOLD
