Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_000	12.140100778494077	10.344158971648387	0.36443541701744925	0.589024498549018	0	0	0.0	0.0	0.0	0.0	-1	32.50631272848723	accepted	Likely BOLD
ICA_001	14.332275579364069	22.673796969291647	0.8050324210695675	0.8004071696213876	579	3185	0.0	0.0590959910557419	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_002	9.96676840321545	9.350242571818352	0.22695432474589317	0.3356075799413631	0	364	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_003	14.253035073902957	23.708222129149256	0.5509098070895236	0.5807746981920184	703	2647	0.0	0.11391912908242613	1.8493774983965412	0.06725912568895537	1	n/a	rejected	Unlikely BOLD
ICA_004	10.42348806589956	10.010150631022988	0.16492526896249268	0.24862659219474564	0	0	0.0	0.0	0.0	0.0	1	12.317394804110815	accepted	Likely BOLD
ICA_005	13.422757113342481	17.985372821315227	1.2152133148116155	0.6345031702481938	501	1511	0.0	0.26083866382373844	2.842063546513364	0.005380654900422548	-1	n/a	rejected	Unlikely BOLD
ICA_006	9.663603217998453	11.57403744412546	0.1626509737825904	0.18041510762525734	127	642	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_007	8.543559901997572	7.2525846348845215	0.24999121237072908	0.3770472812480788	0	230	0.0	0.0	-3.053080367523082	0.002404657038355749	1	n/a	rejected	Unlikely BOLD
ICA_008	9.157387637723673	10.755916171144774	0.16883118737309688	0.20740689249110406	129	109	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_009	9.0534809135841	10.14240093789124	0.1359129565512552	0.17707327970910763	349	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_010	27.083745512723112	16.84174473931569	1.4332320780301686	2.0464711964026927	18453	6240	0.45579722362726915	0.1736055296576113	-4.12222470940776	6.428276314565667e-05	1	n/a	rejected	Unlikely BOLD
ICA_011	9.49176931788949	11.066234403521646	0.949781068185796	1.3515223242460555	145	1174	0.0	0.0	-2.5745979093075393	0.010139478660339629	-1	n/a	rejected	Unlikely BOLD
ICA_012	22.589661194668174	11.475868885624037	0.5800927440078416	1.0265413806976198	7676	587	0.37360890302066774	0.0	0.0	0.0	1	29.740725066628503	accepted	Likely BOLD
ICA_013	10.368985622068397	11.77626014967891	0.5997617444133608	0.8849636809993578	0	162	0.0	0.0	-3.3417859600806916	0.0008531778847388613	1	n/a	rejected	Unlikely BOLD
ICA_014	9.79452545297358	11.463404723211882	0.26166829283178683	0.22033710020957367	388	579	0.0	0.4336513443191674	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_015	12.327846004567583	20.58663249506528	0.5896120919774561	0.6299079376735242	564	1564	0.0	0.0636984075398115	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_016	8.378556238585205	14.38598319075531	0.19185159713794245	0.24228339625924125	0	582	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_017	8.42917718959734	11.607791440391349	0.1931177141862685	0.19609157762760848	0	215	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_018	9.026120330665005	10.88996036820898	0.15213087497140387	0.18577914412666957	0	236	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_019	7.704114750568152	15.525549597002055	0.5413013526744664	0.3937130867503535	0	1111	0.0	0.026303854875283448	-14.45142379465975	4.355843767081726e-43	-1	n/a	rejected	Unlikely BOLD
ICA_020	36.312707658455814	9.140367723307177	0.1895328801271695	0.2790910349231445	4582	733	0.5432208079690094	0.08714596949891068	36.380866103237175	9.447377935028005e-262	1	8.474199470723576	accepted	Likely BOLD
ICA_021	8.571837162554703	10.914955182519956	0.14324183092812964	0.18423013487422235	0	216	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_022	8.648676940141637	14.34513657177492	0.2604778765769092	0.25180369840649214	0	314	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_023	9.16875328430062	12.919568639200325	0.18268228131077668	0.19385487613463945	234	603	0.0	0.4759535655058043	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_024	8.871126677985863	11.447422964167806	0.186671719328199	0.19787388863107402	0	416	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_025	18.144948220374115	22.39889833536287	2.8122334235843875	1.0303711449508295	1525	1892	0.3409316154608523	0.3983695652173913	2.632638112951236	0.00870658609641704	1	n/a	rejected	Unlikely BOLD
ICA_026	7.135038571612775	20.517737189737307	0.43584969198710793	0.471605296012098	153	1891	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_027	52.65071520602537	9.747828569220195	0.4720120312219441	0.6933950065505724	15098	2065	0.6050380228136882	0.1930933852140078	23.763186241724473	8.416690784227242e-121	-1	18.8126995536257	accepted	Likely BOLD
ICA_028	9.977304752481896	19.707837737855876	0.3431435682460106	0.2130827648260275	522	889	0.39148936170212767	0.7849099099099099	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_029	14.33393147199291	24.432684116962896	0.7649459370831242	0.7921133257469941	400	2314	0.0	0.13532856213402733	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_030	9.221783370216547	13.854253730678314	0.18331608159906376	0.18986735590483392	355	1240	0.0	0.40274969672462596	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_031	8.509204298301155	13.747255495479516	0.4383046093576475	0.37641861424494877	0	0	0.0	0.0	-4.2866110866160625	3.865206844459776e-05	-1	n/a	rejected	Unlikely BOLD
ICA_032	8.702945282436525	9.69784766078349	0.14410976651065138	0.19784374061414317	0	246	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_033	11.293203893013027	12.417507077228574	0.1596893172129603	0.2037584481160528	1080	581	0.06700791065611912	0.0	3.9924102824777314	8.505309656589222e-05	-1	n/a	rejected	Unlikely BOLD
ICA_034	8.384072486520092	11.81601768827357	0.1592515913323752	0.19761703162126948	0	449	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_035	88.39952697902534	9.701785003117937	0.41622042126536013	0.5359657046198069	3910	1104	0.6303901437371663	0.21474067333939945	39.32072239354945	1.3278872698821537e-299	-1	22.166872684159134	accepted	Likely BOLD
ICA_036	8.771534594665907	10.057649962617825	0.1570951729385278	0.20801977092158894	0	284	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_037	21.842824655873258	29.667212027852266	0.9887217447399878	1.2607740715104332	4723	5976	0.10596026490066225	0.027117480477130352	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
