pipeline,r_d_vs_primary,pct_signo_global,pct_signo_sig_primary,pct_replic_sig_primary,n_sig_pipeline
TEDANA,0.39553065460900994,88.8453500522466,96.06219122348155,26.300494042429527,3417
TEDANA+24P,0.838419047674963,96.84654426033737,100.0,47.5297878523685,3641
TEDANA+aCompCor,1.0,100.0,100.0,100.0,6882
OC+Siegel,0.4855039542969082,84.80370204508135,95.9023539668701,24.731182795698924,2718
OC+24P,0.6102762276489122,93.60725481415136,98.9247311827957,28.69805289160128,2703
OC+aCompCor,0.7219911619261091,95.71577847439916,99.25893635571055,52.281313571636154,4445
OC+36P+GSR,0.3945760926554245,55.41125541125541,75.53036907875618,6.887532693984307,1267
