,TEDANA,TEDANA+24P,TEDANA+aCompCor,OC+Siegel,OC+24P,OC+aCompCor,OC+36P+GSR
TEDANA,1.0,0.6917575636656124,0.6776769883247529,0.5172221495898072,0.625745690435803,0.6066413294943956,0.40608811611075246
TEDANA+24P,0.6917575636656125,1.0,0.9637375039123682,0.7502173735849829,0.8724672454780603,0.8443779439247192,0.6032565591098951
TEDANA+aCompCor,0.6776769883247529,0.9637375039123681,1.0,0.7567230430489328,0.8618827392160902,0.9046488645318116,0.5984681679491579
OC+Siegel,0.5172221495898072,0.7502173735849829,0.7567230430489328,0.9999999999999999,0.8216051701402889,0.7728131962827343,0.7060842960375135
OC+24P,0.6257456904358031,0.8724672454780603,0.86188273921609,0.8216051701402889,0.9999999999999999,0.8911434285718862,0.725343897147051
OC+aCompCor,0.6066413294943956,0.8443779439247193,0.9046488645318116,0.7728131962827344,0.891143428571886,1.0,0.6585452297013517
OC+36P+GSR,0.40608811611075246,0.6032565591098951,0.5984681679491579,0.7060842960375135,0.725343897147051,0.6585452297013518,1.0
