Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_000	24.358084577283382	14.005093404208914	0.48575351092571367	0.6783317315805076	6786	705	0.23671782762691854	0.0	0.0	0.0	1	35.19823382946308	accepted	Likely BOLD
ICA_001	69.74990230841077	9.043942722843795	0.3137926829400502	0.554487214208038	11948	1474	0.6211633033745972	0.1375	39.59124726798236	0.0	1	16.054833544572833	accepted	Likely BOLD
ICA_002	41.18663875011358	7.056044327842645	0.20122068494052536	0.3605269321578759	9053	109	0.5504771471622301	0.0	46.936656688436955	0.0	1	7.784661624811873	accepted	Likely BOLD
ICA_003	6.859540957887976	10.329422703940313	0.1109500988059172	0.19074129649455362	0	153	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_004	9.590995421137047	10.792068729666306	0.13376371833567446	0.1399438091732599	362	489	0.0	0.6992399565689468	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_005	50.35190606885467	8.749837250775997	0.26304417214447723	0.4192808105948315	11121	1167	0.656227501799856	0.25336927223719674	40.1993081732479	0.0	-1	7.695520277610301	accepted	Likely BOLD
ICA_006	61.63121324062192	7.7642564407529155	0.2661344306011887	0.43210758233523194	12906	567	0.6583643699565487	0.072992700729927	35.483234796375214	9.950522146574123e-256	-1	9.758992458331516	accepted	Likely BOLD
ICA_007	10.947642415541901	13.2094538501424	0.20641748976124355	0.16842202498842632	328	710	0.0	0.7835344215755855	4.765520444703683	5.875296794761475e-06	1	n/a	rejected	Unlikely BOLD
ICA_008	31.077887546830585	10.195015366438676	1.2839238665436614	2.0269494897606295	13465	1066	0.5834524257239564	0.0	0.0	0.0	-1	42.333949817529174	accepted	Likely BOLD
ICA_009	19.182346930328126	15.83690828706856	0.8940008681239434	1.399091455193228	9226	2203	0.28139149641082273	0.03885291396854764	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_010	20.860217513681846	21.956170258354387	2.047464100443588	0.8623320730212239	2360	2102	0.40613362541073383	0.3705008809463881	2.06545458725449	0.03955278733140546	-1	n/a	rejected	Unlikely BOLD
ICA_011	11.81957203821838	8.03202277943438	0.17994831905642344	0.18596155713221613	218	122	0.0	0.0	0.0	0.0	1	8.794534452581393	accepted	Likely BOLD
