"seed","roi","roi_label","network","dz_primary","sign_primary","n_dir","n_dir_noGSR","converge_S0","sign_match_GSR"
"AMY",55,"LH_Limbic_OFC_1","Limbic",0.454547629834374,1,4,3,FALSE,TRUE
"AMY",56,"LH_Limbic_OFC_2","Limbic",0.318982523129057,1,3,3,FALSE,FALSE
"AMY",57,"LH_Limbic_TempPole_1","Limbic",0.366037184553605,1,7,6,TRUE,TRUE
"AMY",58,"LH_Limbic_TempPole_2","Limbic",0.133190584531126,1,2,2,FALSE,FALSE
"AMY",59,"LH_Limbic_TempPole_3","Limbic",0.0768925241364758,1,7,6,TRUE,TRUE
"AMY",60,"LH_Limbic_TempPole_4","Limbic",1.09877654414691,1,4,4,FALSE,FALSE
"AMY",61,"LH_Cont_Par_1","Cont",1.19036026351933,1,7,6,TRUE,TRUE
"AMY",62,"LH_Cont_Par_2","Cont",0.610896459933271,1,5,5,FALSE,FALSE
"AMY",63,"LH_Cont_Par_3","Cont",0.862928662804219,1,6,6,TRUE,FALSE
"AMY",64,"LH_Cont_Temp_1","Cont",0.369284356995984,1,2,2,FALSE,FALSE
"AMY",65,"LH_Cont_OFC_1","Cont",0.723109686106056,1,6,5,TRUE,TRUE
"AMY",66,"LH_Cont_PFCl_1","Cont",0.755622816916773,1,7,6,TRUE,TRUE
"AMY",67,"LH_Cont_PFCl_2","Cont",0.541174092360947,1,6,6,TRUE,FALSE
"AMY",68,"LH_Cont_PFCl_3","Cont",1.0865095391394,1,7,6,TRUE,TRUE
"AMY",69,"LH_Cont_PFCl_4","Cont",0.415745986985058,1,5,5,FALSE,FALSE
"AMY",70,"LH_Cont_PFCl_5","Cont",0.355326690222985,1,5,5,FALSE,FALSE
"AMY",71,"LH_Cont_pCun_1","Cont",0.731354020590953,1,5,5,FALSE,FALSE
"AMY",72,"LH_Cont_Cing_1","Cont",0.737444235269896,1,7,6,TRUE,TRUE
"AMY",73,"LH_Cont_Cing_2","Cont",0.35244490655886,1,6,5,TRUE,TRUE
"AMY",74,"LH_Default_Temp_1","Default",0.0681339690799666,1,6,5,TRUE,TRUE
"AMY",75,"LH_Default_Temp_2","Default",0.2431593429213,1,5,4,FALSE,TRUE
"AMY",76,"LH_Default_Temp_3","Default",0.144794368337592,1,4,4,FALSE,FALSE
"AMY",77,"LH_Default_Temp_4","Default",0.205920525390276,1,4,4,FALSE,FALSE
"AMY",78,"LH_Default_Temp_5","Default",0.158872987229585,1,3,3,FALSE,FALSE
"AMY",79,"LH_Default_Par_1","Default",0.853720210483351,1,4,4,FALSE,FALSE
"AMY",80,"LH_Default_Par_2","Default",0.540497308735102,1,5,5,FALSE,FALSE
"AMY",81,"LH_Default_Par_3","Default",0.870637501500415,1,6,6,TRUE,FALSE
"AMY",82,"LH_Default_Par_4","Default",0.511186706588155,1,5,5,FALSE,FALSE
"AMY",83,"LH_Default_PFC_1","Default",0.147697348733023,1,3,3,FALSE,FALSE
"AMY",84,"LH_Default_PFC_2","Default",0.102821663731544,1,3,3,FALSE,FALSE
"AMY",85,"LH_Default_PFC_3","Default",0.315194905079177,1,7,6,TRUE,TRUE
"AMY",86,"LH_Default_PFC_4","Default",-0.0363393538304844,-1,5,4,FALSE,TRUE
"AMY",87,"LH_Default_PFC_5","Default",0.467324067512656,1,5,5,FALSE,FALSE
"AMY",88,"LH_Default_PFC_6","Default",0.497180591630534,1,5,5,FALSE,FALSE
"AMY",89,"LH_Default_PFC_7","Default",0.494281604835529,1,5,5,FALSE,FALSE
"AMY",90,"LH_Default_PFC_8","Default",0.692216711755918,1,7,6,TRUE,TRUE
"AMY",91,"LH_Default_PFC_9","Default",0.299600824927094,1,6,5,TRUE,TRUE
"AMY",92,"LH_Default_PFC_10","Default",0.534795255004948,1,7,6,TRUE,TRUE
"AMY",93,"LH_Default_PFC_11","Default",0.574323974836733,1,7,6,TRUE,TRUE
"AMY",94,"LH_Default_PFC_12","Default",0.402174119778876,1,6,6,TRUE,FALSE
"AMY",95,"LH_Default_PFC_13","Default",0.344324148500355,1,7,6,TRUE,TRUE
"AMY",96,"LH_Default_pCunPCC_1","Default",0.310511363180251,1,5,5,FALSE,FALSE
"AMY",97,"LH_Default_pCunPCC_2","Default",0.169497838690573,1,4,4,FALSE,FALSE
"AMY",98,"LH_Default_pCunPCC_3","Default",0.407689240179351,1,6,6,TRUE,FALSE
"AMY",99,"LH_Default_pCunPCC_4","Default",0.53906785408148,1,5,5,FALSE,FALSE
"AMY",100,"LH_Default_PHC_1","Default",0.348693859645512,1,4,4,FALSE,FALSE
"AMY",101,"RH_Vis_1","Vis",0.344181463018806,1,5,5,FALSE,FALSE
"AMY",102,"RH_Vis_2","Vis",0.543878295459194,1,2,2,FALSE,FALSE
"AMY",103,"RH_Vis_3","Vis",0.292723240539704,1,5,5,FALSE,FALSE
"AMY",104,"RH_Vis_4","Vis",0.120964216552019,1,4,4,FALSE,FALSE
"AMY",105,"RH_Vis_5","Vis",0.464607329774387,1,7,6,TRUE,TRUE
"AMY",106,"RH_Vis_6","Vis",-0.00860169729309966,-1,4,3,FALSE,TRUE
"AMY",107,"RH_Vis_7","Vis",0.136461857419196,1,4,4,FALSE,FALSE
"AMY",108,"RH_Vis_8","Vis",0.152464908212745,1,6,5,TRUE,TRUE
"AMY",109,"RH_Vis_9","Vis",0.113949007881111,1,4,4,FALSE,FALSE
"AMY",110,"RH_Vis_10","Vis",-0.128720782856956,-1,6,5,TRUE,TRUE
"AMY",111,"RH_Vis_11","Vis",0.242735105422748,1,6,5,TRUE,TRUE
"AMY",112,"RH_Vis_12","Vis",0.152938751937485,1,4,4,FALSE,FALSE
"AMY",113,"RH_Vis_13","Vis",0.172604603947232,1,3,3,FALSE,FALSE
"AMY",114,"RH_Vis_14","Vis",0.429052287703301,1,6,5,TRUE,TRUE
"AMY",115,"RH_Vis_15","Vis",0.614429657056791,1,7,6,TRUE,TRUE
"AMY",116,"RH_SomMot_1","SomMot",0.270202960736925,1,5,5,FALSE,FALSE
"AMY",117,"RH_SomMot_2","SomMot",0.235277436289665,1,5,5,FALSE,FALSE
"AMY",118,"RH_SomMot_3","SomMot",0.365213349111903,1,7,6,TRUE,TRUE
"AMY",119,"RH_SomMot_4","SomMot",0.331440245837431,1,5,5,FALSE,FALSE
"AMY",120,"RH_SomMot_5","SomMot",0.178537794345287,1,5,5,FALSE,FALSE
"AMY",121,"RH_SomMot_6","SomMot",0.251723741872678,1,5,5,FALSE,FALSE
"AMY",122,"RH_SomMot_7","SomMot",-0.161772647563904,-1,6,5,TRUE,TRUE
"AMY",123,"RH_SomMot_8","SomMot",0.575988705608261,1,5,5,FALSE,FALSE
"AMY",124,"RH_SomMot_9","SomMot",0.393309957716428,1,5,5,FALSE,FALSE
"AMY",125,"RH_SomMot_10","SomMot",0.096541426513871,1,5,5,FALSE,FALSE
"AMY",126,"RH_SomMot_11","SomMot",0.182817563801647,1,4,4,FALSE,FALSE
"AMY",127,"RH_SomMot_12","SomMot",0.143362254264322,1,4,4,FALSE,FALSE
"AMY",128,"RH_SomMot_13","SomMot",0.329487727506348,1,5,5,FALSE,FALSE
"AMY",129,"RH_SomMot_14","SomMot",0.145592881726471,1,4,4,FALSE,FALSE
"AMY",130,"RH_SomMot_15","SomMot",0.587485273304256,1,7,6,TRUE,TRUE
"AMY",131,"RH_SomMot_16","SomMot",0.368541659852783,1,5,5,FALSE,FALSE
"AMY",132,"RH_SomMot_17","SomMot",0.290191444513405,1,4,4,FALSE,FALSE
"AMY",133,"RH_SomMot_18","SomMot",-0.0552163141669753,-1,6,5,TRUE,TRUE
"AMY",134,"RH_SomMot_19","SomMot",0.512039277159734,1,5,5,FALSE,FALSE
"AMY",135,"RH_DorsAttn_Post_1","DorsAttn",0.702947259216932,1,5,5,FALSE,FALSE
"AMY",136,"RH_DorsAttn_Post_2","DorsAttn",0.58677160664175,1,5,5,FALSE,FALSE
"AMY",137,"RH_DorsAttn_Post_3","DorsAttn",0.645449968698415,1,5,5,FALSE,FALSE
"AMY",138,"RH_DorsAttn_Post_4","DorsAttn",0.786603248792807,1,7,6,TRUE,TRUE
"AMY",139,"RH_DorsAttn_Post_5","DorsAttn",0.521036671141027,1,5,5,FALSE,FALSE
"AMY",140,"RH_DorsAttn_Post_6","DorsAttn",0.792943854729136,1,7,6,TRUE,TRUE
"AMY",141,"RH_DorsAttn_Post_7","DorsAttn",0.739937418597306,1,7,6,TRUE,TRUE
"AMY",142,"RH_DorsAttn_Post_8","DorsAttn",0.763048144970201,1,7,6,TRUE,TRUE
"AMY",143,"RH_DorsAttn_Post_9","DorsAttn",0.94725905647445,1,7,6,TRUE,TRUE
"AMY",144,"RH_DorsAttn_Post_10","DorsAttn",0.515450976672221,1,5,5,FALSE,FALSE
"AMY",145,"RH_DorsAttn_FEF_1","DorsAttn",0.581983209044897,1,6,6,TRUE,FALSE
"AMY",146,"RH_DorsAttn_FEF_2","DorsAttn",0.997948117806649,1,7,6,TRUE,TRUE
"AMY",147,"RH_DorsAttn_PrCv_1","DorsAttn",0.778664313389547,1,7,6,TRUE,TRUE
"AMY",148,"RH_SalVentAttn_TempOccPar_1","SalVentAttn",0.698674420020462,1,5,5,FALSE,FALSE
"AMY",149,"RH_SalVentAttn_TempOccPar_2","SalVentAttn",0.462629451465619,1,5,5,FALSE,FALSE
"AMY",150,"RH_SalVentAttn_TempOccPar_3","SalVentAttn",0.66603144652861,1,5,5,FALSE,FALSE
"AMY",151,"RH_SalVentAttn_PrC_1","SalVentAttn",0.416375610449346,1,5,5,FALSE,FALSE
"AMY",152,"RH_SalVentAttn_FrOperIns_1","SalVentAttn",0.524819185279495,1,7,6,TRUE,TRUE
