"pipeline","seed","roi","roi_label","network","n","mean_delta","d_z","p_value","p_FDR","sig_FDR"
"OC_24P","AMY",1,"LH_Vis_1","Vis",6,0.0569687339247735,0.402872009927467,0.369041610459231,0.924933773662943,FALSE
"OC_24P","AMY",2,"LH_Vis_2","Vis",6,-0.00697408115179723,-0.0445231765092579,0.917397299169158,0.992950786745079,FALSE
"OC_24P","AMY",3,"LH_Vis_3","Vis",6,-0.00907071171550194,-0.0657704803438758,0.87831858057642,0.991369486987246,FALSE
"OC_24P","AMY",4,"LH_Vis_4","Vis",6,-0.0225970442159521,-0.140516325477172,0.744704206783492,0.970603424884735,FALSE
"OC_24P","AMY",5,"LH_Vis_5","Vis",6,-0.00928225657323805,-0.0513386851655586,0.904827019547357,0.992950786745079,FALSE
"OC_24P","AMY",6,"LH_Vis_6","Vis",6,0.0298882079490261,0.609610980844678,0.19559527764331,0.924933773662943,FALSE
"OC_24P","AMY",7,"LH_Vis_7","Vis",6,0.0466985575666162,0.244095038184693,0.575950274241242,0.955605191021918,FALSE
"OC_24P","AMY",8,"LH_Vis_8","Vis",6,-0.00367465363656193,-0.0194413015589947,0.963861684906212,0.992950786745079,FALSE
"OC_24P","AMY",9,"LH_Vis_9","Vis",6,0.0317515968233248,0.206616879012186,0.634301382741247,0.955605191021918,FALSE
"OC_24P","AMY",10,"LH_Vis_10","Vis",6,-0.00398556167832553,-0.0222097817004076,0.958721224768416,0.992950786745079,FALSE
"OC_24P","AMY",11,"LH_Vis_11","Vis",6,0.0226232921006196,0.125017633754535,0.771771021748256,0.970603424884735,FALSE
"OC_24P","AMY",12,"LH_Vis_12","Vis",6,-0.0374154749816977,-0.263939761335055,0.546445158725819,0.955605191021918,FALSE
"OC_24P","AMY",13,"LH_Vis_13","Vis",6,0.0447490561360328,0.232863166343461,0.59308469266488,0.955605191021918,FALSE
"OC_24P","AMY",14,"LH_Vis_14","Vis",6,0.0415214048979082,0.300907646487251,0.494190939421911,0.955605191021918,FALSE
"OC_24P","AMY",15,"LH_SomMot_1","SomMot",6,0.0783153807869691,0.547510354903757,0.237576240459653,0.924933773662943,FALSE
"OC_24P","AMY",16,"LH_SomMot_2","SomMot",6,0.0258021092443479,0.204540310520013,0.637630510991532,0.955605191021918,FALSE
"OC_24P","AMY",17,"LH_SomMot_3","SomMot",6,0.0918172294744574,0.856057410620237,0.0901066185162482,0.924933773662943,FALSE
"OC_24P","AMY",18,"LH_SomMot_4","SomMot",6,0.0598585971568723,0.593946416971934,0.205463267625431,0.924933773662943,FALSE
"OC_24P","AMY",19,"LH_SomMot_5","SomMot",6,0.0727643744857193,0.815442449125704,0.102276195522893,0.924933773662943,FALSE
"OC_24P","AMY",20,"LH_SomMot_6","SomMot",6,-0.0171358365754081,-0.112770682290714,0.79342488480955,0.970603424884735,FALSE
"OC_24P","AMY",21,"LH_SomMot_7","SomMot",6,0.0381180288611338,0.257311280340772,0.556189642045547,0.955605191021918,FALSE
"OC_24P","AMY",22,"LH_SomMot_8","SomMot",6,0.0104156201059058,0.0607511429914565,0.887519703644218,0.99193378642589,FALSE
