"pipeline","seed","network","mean_dz","n_rois"
"OC_aCompCor","NAc","SomMot",0.596459801622728,35
"OC_aCompCor","NAc","DorsAttn",0.663908773154369,26
"OC_aCompCor","NAc","SalVentAttn",0.405341435237569,22
"OC_aCompCor","NAc","Limbic",0.411528104817384,12
"OC_aCompCor","NAc","Cont",0.882862780992799,30
"OC_aCompCor","NAc","Default",0.751449018119766,46
"OC_aCompCor","NAc","Subcortex",0.54625314012832,28
"OC_aCompCor","PUT","Vis",0.689084918525446,29
"OC_aCompCor","PUT","SomMot",1.30316634030783,35
"OC_aCompCor","PUT","DorsAttn",1.11982310429226,26
"OC_aCompCor","PUT","SalVentAttn",0.713187915749387,22
"OC_aCompCor","PUT","Limbic",0.71958084740159,12
"OC_aCompCor","PUT","Cont",1.69116114293069,30
"OC_aCompCor","PUT","Default",1.31665258754997,46
"OC_aCompCor","PUT","Subcortex",0.621205144022885,28
"OC_aCompCor","THA","Vis",0.612639990440873,29
"OC_aCompCor","THA","SomMot",0.806985297446647,35
"OC_aCompCor","THA","DorsAttn",0.890380666829292,26
"OC_aCompCor","THA","SalVentAttn",0.801755147387027,22
"OC_aCompCor","THA","Limbic",0.516012853287438,12
"OC_aCompCor","THA","Cont",0.825310029775863,30
"OC_aCompCor","THA","Default",0.659343516046837,46
"OC_aCompCor","THA","Subcortex",0.563203809660532,24
"OC_siegel","AMY","Vis",-0.304949785969332,29
"OC_siegel","AMY","SomMot",-0.209839023163425,35
"OC_siegel","AMY","DorsAttn",0.0809886252001022,26
"OC_siegel","AMY","SalVentAttn",0.117088801905773,22
"OC_siegel","AMY","Limbic",0.121407159800141,12
"OC_siegel","AMY","Cont",0.234947092658352,30
"OC_siegel","AMY","Default",-0.139142783388956,46
"OC_siegel","AMY","Subcortex",-0.0952980092251547,28
"OC_siegel","HIP","Vis",0.506026127413402,29
"OC_siegel","HIP","SomMot",0.188546480561355,35
"OC_siegel","HIP","DorsAttn",0.519223554217237,26
"OC_siegel","HIP","SalVentAttn",0.384438097106784,22
"OC_siegel","HIP","Limbic",-0.00287438118172518,12
"OC_siegel","HIP","Cont",0.776918400767416,30
"OC_siegel","HIP","Default",0.294140089267419,46
"OC_siegel","HIP","Subcortex",0.407312642435894,28
"OC_siegel","NAc","Vis",0.29856881737717,29
"OC_siegel","NAc","SomMot",0.396692326065437,35
"OC_siegel","NAc","DorsAttn",0.402143672297293,26
"OC_siegel","NAc","SalVentAttn",0.468789877425237,22
"OC_siegel","NAc","Limbic",0.302500744507159,12
"OC_siegel","NAc","Cont",0.834570723737425,30
"OC_siegel","NAc","Default",0.866270544510953,46
"OC_siegel","NAc","Subcortex",0.449064691556002,28
"OC_siegel","PUT","Vis",0.699985625111095,29
"OC_siegel","PUT","SomMot",0.475540113805208,35
"OC_siegel","PUT","DorsAttn",0.682257605059398,26
"OC_siegel","PUT","SalVentAttn",0.373733488843571,22
"OC_siegel","PUT","Limbic",0.646309376458699,12
"OC_siegel","PUT","Cont",0.978385722225555,30
"OC_siegel","PUT","Default",0.933421132413151,46
"OC_siegel","PUT","Subcortex",0.457080705650346,28
"OC_siegel","THA","Vis",0.883446543447911,29
"OC_siegel","THA","SomMot",0.754468854504161,35
"OC_siegel","THA","DorsAttn",1.5206319720494,26
"OC_siegel","THA","SalVentAttn",1.03882519154544,22
"OC_siegel","THA","Limbic",0.345908514804135,12
"OC_siegel","THA","Cont",1.09160170117316,30
"OC_siegel","THA","Default",0.649041572609866,46
"OC_siegel","THA","Subcortex",0.591164967172483,24
"TEDANA","AMY","Vis",0.0296417036845527,29
"TEDANA","AMY","SomMot",0.223304275425117,35
"TEDANA","AMY","DorsAttn",0.358075603109702,26
"TEDANA","AMY","SalVentAttn",0.283900280995279,22
"TEDANA","AMY","Limbic",0.205109975768139,12
"TEDANA","AMY","Cont",0.379869497115076,30
"TEDANA","AMY","Default",0.354598772114452,46
"TEDANA","AMY","Subcortex",0.106419632051665,28
"TEDANA","HIP","Vis",0.420342877630181,29
"TEDANA","HIP","SomMot",0.346581998513746,35
"TEDANA","HIP","DorsAttn",0.571150668153708,26
"TEDANA","HIP","SalVentAttn",0.441466099557138,22
"TEDANA","HIP","Limbic",0.00318557823709508,12
"TEDANA","HIP","Cont",0.530483784425348,30
"TEDANA","HIP","Default",0.452623807269114,46
"TEDANA","HIP","Subcortex",0.264644522269394,28
"TEDANA","NAc","Vis",0.31325537751072,29
"TEDANA","NAc","SomMot",0.31314744263093,35
"TEDANA","NAc","DorsAttn",0.464382790481073,26
"TEDANA","NAc","SalVentAttn",0.3108464058329,22
"TEDANA","NAc","Limbic",0.284903366075783,12
"TEDANA","NAc","Cont",0.471319017478323,30
"TEDANA","NAc","Default",0.494711313127765,46
"TEDANA","NAc","Subcortex",0.131273782321724,28
"TEDANA","PUT","Vis",0.271377226464194,29
"TEDANA","PUT","SomMot",0.463911274443223,35
"TEDANA","PUT","DorsAttn",0.548264244765981,26
"TEDANA","PUT","SalVentAttn",0.359585967235951,22
"TEDANA","PUT","Limbic",0.601283862256064,12
"TEDANA","PUT","Cont",0.733350366389433,30
"TEDANA","PUT","Default",0.801237094839856,46
"TEDANA","PUT","Subcortex",0.120584218182387,28
"TEDANA","THA","Vis",0.454496616783024,29
"TEDANA","THA","SomMot",0.471916155473414,35
"TEDANA","THA","DorsAttn",0.657850693244003,26
"TEDANA","THA","SalVentAttn",0.619852045335631,22
"TEDANA","THA","Limbic",0.38983678055422,12
"TEDANA","THA","Cont",0.618015945977712,30
"TEDANA","THA","Default",0.640698549882563,46
"TEDANA","THA","Subcortex",0.286597118781927,24
"TEDANA_24P","AMY","Vis",0.146955871061247,29
"TEDANA_24P","AMY","SomMot",0.183267396893509,35
"TEDANA_24P","AMY","DorsAttn",0.503171127884258,26
"TEDANA_24P","AMY","SalVentAttn",0.471294688835596,22
"TEDANA_24P","AMY","Limbic",0.378559219282996,12
"TEDANA_24P","AMY","Cont",0.556668482899074,30
"TEDANA_24P","AMY","Default",0.36580604923581,46
"TEDANA_24P","AMY","Subcortex",0.439595676003474,28
"TEDANA_24P","HIP","Vis",0.55503869189726,29
"TEDANA_24P","HIP","SomMot",0.400113882011051,35
"TEDANA_24P","HIP","DorsAttn",0.7512013702785,26
"TEDANA_24P","HIP","SalVentAttn",0.518653133479972,22
"TEDANA_24P","HIP","Limbic",0.436844985948593,12
"TEDANA_24P","HIP","Cont",0.897110169831995,30
"TEDANA_24P","HIP","Default",0.570498964918974,46
"TEDANA_24P","HIP","Subcortex",0.639417686336552,28
"TEDANA_24P","NAc","Vis",0.377978974999776,29
"TEDANA_24P","NAc","SomMot",0.467718875610462,35
"TEDANA_24P","NAc","DorsAttn",0.585032810819497,26
"TEDANA_24P","NAc","SalVentAttn",0.40543593120274,22
"TEDANA_24P","NAc","Limbic",0.669712182943705,12
"TEDANA_24P","NAc","Cont",0.736427399069422,30
"TEDANA_24P","NAc","Default",0.791929243222974,46
"TEDANA_24P","NAc","Subcortex",0.672170869454442,28
"TEDANA_24P","PUT","Vis",0.525791298378083,29
"TEDANA_24P","PUT","SomMot",1.03462417005764,35
"TEDANA_24P","PUT","DorsAttn",0.930689126865717,26
"TEDANA_24P","PUT","SalVentAttn",0.512194306830073,22
"TEDANA_24P","PUT","Limbic",1.69240248427234,12
"TEDANA_24P","PUT","Cont",1.20215066008145,30
"TEDANA_24P","PUT","Default",1.27878244720312,46
"TEDANA_24P","PUT","Subcortex",0.769977497387734,28
"TEDANA_24P","THA","Vis",0.479143852226726,29
"TEDANA_24P","THA","SomMot",0.550691232028675,35
"TEDANA_24P","THA","DorsAttn",0.756272582826413,26
"TEDANA_24P","THA","SalVentAttn",0.65220222980048,22
"TEDANA_24P","THA","Limbic",0.659944076140806,12
"TEDANA_24P","THA","Cont",0.773080885033329,30
"TEDANA_24P","THA","Default",0.658704944259032,46
"TEDANA_24P","THA","Subcortex",0.59430263940608,24
"TEDANA_aCompCor","AMY","Vis",0.215748468011223,29
"TEDANA_aCompCor","AMY","SomMot",0.263122111319746,35
"TEDANA_aCompCor","AMY","DorsAttn",0.692308979181627,26
"TEDANA_aCompCor","AMY","SalVentAttn",0.710341150487495,22
"TEDANA_aCompCor","AMY","Limbic",0.425942491842155,12
"TEDANA_aCompCor","AMY","Cont",0.750197255315277,30
"TEDANA_aCompCor","AMY","Default",0.44442257466593,46
"TEDANA_aCompCor","AMY","Subcortex",0.503389986993532,28
"TEDANA_aCompCor","HIP","Vis",0.73436904190739,29
"TEDANA_aCompCor","HIP","SomMot",0.583973984140388,35
"TEDANA_aCompCor","HIP","DorsAttn",1.00081360846644,26
"TEDANA_aCompCor","HIP","SalVentAttn",0.787981113608284,22
"TEDANA_aCompCor","HIP","Limbic",0.585032948232195,12
"TEDANA_aCompCor","HIP","Cont",1.20692512542011,30
"TEDANA_aCompCor","HIP","Default",0.645207864490089,46
"TEDANA_aCompCor","HIP","Subcortex",0.93482725147892,28
"TEDANA_aCompCor","NAc","Vis",0.735185793932829,29
"TEDANA_aCompCor","NAc","SomMot",0.845397193958197,35
"TEDANA_aCompCor","NAc","DorsAttn",0.99099913973214,26
"TEDANA_aCompCor","NAc","SalVentAttn",0.637082789004254,22
"TEDANA_aCompCor","NAc","Limbic",0.814979649171059,12
"TEDANA_aCompCor","NAc","Cont",1.07122308811509,30
"TEDANA_aCompCor","NAc","Default",0.957574181880468,46
"TEDANA_aCompCor","NAc","Subcortex",0.849184940404117,28
"TEDANA_aCompCor","PUT","Vis",0.931100051194613,29
"TEDANA_aCompCor","PUT","SomMot",1.54307451221819,35
"TEDANA_aCompCor","PUT","DorsAttn",1.37375831226786,26
"TEDANA_aCompCor","PUT","SalVentAttn",0.864083696649383,22
"TEDANA_aCompCor","PUT","Limbic",1.85948566868414,12
"TEDANA_aCompCor","PUT","Cont",2.13588547979146,30
"TEDANA_aCompCor","PUT","Default",1.77055727994347,46
"TEDANA_aCompCor","PUT","Subcortex",1.01813147064284,28
"TEDANA_aCompCor","THA","Vis",0.708596745718911,29
"TEDANA_aCompCor","THA","SomMot",0.913388155252696,35
"TEDANA_aCompCor","THA","DorsAttn",1.104625810274,26
"TEDANA_aCompCor","THA","SalVentAttn",0.984686459783881,22
"TEDANA_aCompCor","THA","Limbic",0.901648226852978,12
"TEDANA_aCompCor","THA","Cont",1.08983958842338,30
"TEDANA_aCompCor","THA","Default",0.864945779035966,46
"TEDANA_aCompCor","THA","Subcortex",0.956356032120545,24
