"seed","roi","roi_label","network","n","mean_PSIL","mean_MTP","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"AMY",1,"LH_Vis_1","Vis",6,0.236114753582899,0.180987700301022,0.0551270532818779,0.296929759770776,0.545290530344509,0.499640811739994,0.529368106184798,0.683905695007246,0.722730109042718,FALSE,FALSE
"AMY",2,"LH_Vis_2","Vis",6,0.248699318406419,0.193343001958386,0.055356316448033,0.293763946961897,0.459273883036939,0.504008181899181,0.674986713970489,0.683905695007246,0.805743302540689,FALSE,FALSE
"AMY",3,"LH_Vis_3","Vis",6,0.258408897321358,0.181805109723169,0.0766037875981894,0.424812728770513,0.730208778770794,0.345750644754096,0.529368106184798,0.646156942655196,0.722730109042718,FALSE,FALSE
"AMY",4,"LH_Vis_4","Vis",6,0.197321686608594,0.177770005166191,0.0195516814424027,0.0962124949941241,0.175135374364113,0.823036418092034,1,0.880996729225276,1,FALSE,FALSE
"AMY",5,"LH_Vis_5","Vis",6,0.146402398438822,0.16654189038935,-0.0201394919505277,-0.130834217583921,-0.178063848208205,0.761567133104997,0.674986713970489,0.842899545378347,0.805743302540689,FALSE,FALSE
"AMY",6,"LH_Vis_6","Vis",6,0.207983800261714,0.193247215340666,0.0147365849210474,0.105945673644481,0.186326191330733,0.805585975432284,1,0.874636201897908,1,FALSE,FALSE
"AMY",7,"LH_Vis_7","Vis",6,0.15090114851056,0.168671324598151,-0.0177701760875905,-0.086349758143072,-0.141919539891978,0.840838177807648,0.833935414088552,0.895028440958667,0.932045462804852,FALSE,FALSE
"AMY",8,"LH_Vis_8","Vis",6,0.274635238177773,0.213257970665234,0.0613772675125386,0.313352796862547,0.540685957735955,0.477413612161846,0.674986713970489,0.681461683181492,0.805743302540689,FALSE,FALSE
"AMY",9,"LH_Vis_9","Vis",6,0.1810773570476,0.178832868263673,0.0022444887839266,0.0139956271251461,0.0199954381549909,0.973978652877757,1,0.978269307736249,1,FALSE,FALSE
"AMY",10,"LH_Vis_10","Vis",6,0.190982001058549,0.171980080875934,0.0190019201826156,0.0846065935721347,0.153429438854551,0.843996117570673,1,0.895028440958667,1,FALSE,FALSE
"AMY",11,"LH_Vis_11","Vis",6,0.230428993189631,0.153217834679696,0.077211158509935,0.532759386121266,0.71160998593603,0.248724056026284,0.208412803684149,0.588585995001776,0.552536270232394,FALSE,FALSE
