Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	signal-noise_t	signal-noise_p	optimal sign	Var Exp of rejected to accepted	classification	classification_tags
ICA_070	39.3816441336516	7.657383917422983	0.16418903935757473	0.2777055552912297	10372	1036	0.5945368977730339	0.26356589147286824	35.89835603845788	1.490762136377484e-256	-1	20.182514062173052	accepted	Likely BOLD
ICA_071	9.888580549750944	6.696436292297744	0.07819302996216758	0.14337744019801224	0	0	0.0	0.0	0.0	0.0	-1	14.872588457815361	accepted	Low variance
ICA_072	19.73912331200931	8.545336943889577	0.7197398270368508	0.8784521873463508	4765	0	0.4540961194657693	0.0	0.0	0.0	-1	46.135787496095915	accepted	Likely BOLD
ICA_073	13.941248505797406	7.363369991477136	0.09663090596276344	0.23395174357151405	139	85	0.0	0.0	0.0	0.0	-1	21.41115981359587	accepted	Likely BOLD
ICA_074	9.903997367649504	9.119397360982534	0.0997203956169322	0.13725051682117018	1108	89	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_075	8.496553066622742	9.043112184109676	0.10794288801055764	0.13045767164209304	0	193	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_076	10.200432384697102	8.847344896502927	0.11882982795377943	0.1779312617460828	1360	383	0.043812451960030745	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_077	15.719913739184957	8.811700831790041	1.435208430690245	1.0634444607229132	3961	1138	0.382256020278834	0.16050495942290352	13.02063214776547	6.458869260430371e-35	1	77.21778565599473	accepted	Likely BOLD
ICA_078	6.909774250556857	17.68934020191099	0.2180937893913176	0.33372683520156304	385	2941	0.0	0.09491059147180192	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_079	17.41637476501036	7.345051364489948	0.09440857530153829	0.2234742610712243	360	86	0.0	0.0	0.0	0.0	1	17.534156368793063	accepted	Likely BOLD
ICA_080	10.129833374492172	7.118774509305599	0.09763975101965663	0.18389302917696293	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_081	13.622075458304161	38.16943910245074	0.59211770287081	0.19302387295203619	927	1282	0.3416009019165727	0.656	6.411901564364504	4.771830095604699e-10	1	n/a	rejected	Unlikely BOLD
ICA_082	20.236596819663134	25.006553108554165	1.1914756406711569	0.4823425104771421	2230	1762	0.4086916319926029	0.48983253588516745	3.9058779288623775	0.00010347004798102837	-1	n/a	rejected	Unlikely BOLD
ICA_083	8.877846652755133	8.65622197494378	0.21023656411361763	0.32650963676200273	0	256	0.0	0.0	-2.4642465037408696	0.013875256550519058	1	n/a	rejected	Unlikely BOLD
ICA_084	9.838331826938143	6.13092816242846	0.13271371130674037	0.21091607242999277	187	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_085	10.306131312663394	11.15631096097755	0.42685712360534456	0.3005745716894094	470	455	0.2028985507246377	0.5850340136054422	5.45692745906412	4.7011190653585686e-07	-1	n/a	rejected	Unlikely BOLD
ICA_086	7.45813463636314	16.802903585595075	0.20087721416460635	0.2883914403432593	761	2473	0.0	0.13407590759075907	-11.598352173915448	1.2801179268169087e-20	-1	n/a	rejected	Unlikely BOLD
ICA_087	17.23953375167692	14.674648167681442	1.2417296048353919	2.1266936258216864	6976	8159	0.1434878587196468	0.08922674309925852	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_088	33.09820162599525	7.219230474262574	0.1443497718270415	0.2451783823887552	7621	587	0.4297433878059986	0.2277825711820535	31.525684633871535	5.535994910824547e-191	1	17.987323315409643	accepted	Likely BOLD
ICA_089	11.168135220749267	6.206356915128295	0.11071164356670513	0.21791541409824333	0	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_090	25.447613708967253	11.2959514698495	19.417296433150046	17.020550175392717	26735	4328	0.46178337984379975	0.02347472399767577	0.0	0.0	-1	65.14807271143994	accepted	Likely BOLD
ICA_091	9.327461231789723	9.275132406927083	0.22753708134313652	0.25589685785309385	0	0	0.0	0.0	0.0	0.0	1	n/a	rejected	Unlikely BOLD
ICA_092	14.658106323472952	8.1780200010893	1.7691195790841834	2.1471222673902672	4103	0	0.4374384236453202	0.0	0.0	0.0	1	75.63847036572932	accepted	Likely BOLD
ICA_093	8.732443897607867	7.499851449992276	0.08855570737605424	0.13327825772076834	174	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_094	7.415273092353226	17.84752217471765	0.2318010921290507	0.3408540073959043	917	3012	0.0	0.07295850066934405	-5.712307280670282	2.4219698961459416e-08	1	n/a	rejected	Unlikely BOLD
ICA_095	9.926611364092986	7.305903111848797	0.10659381924918944	0.12368036704665485	362	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_096	8.688942837162239	8.097878384415777	0.15838061261919964	0.22815101092143517	132	0	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_097	11.847737313228823	7.616456536378091	0.10465372463546113	0.17764904061043388	2012	260	0.0	0.0	15.980846578949741	3.7588907370701467e-47	1	23.871094227589616	accepted	Likely BOLD
ICA_098	33.09480678218509	7.2105092133091695	0.17280724778087406	0.31917991891489467	8772	796	0.4770157819225251	0.0	34.99554220184025	4.3350932951952006e-239	-1	27.35633966015223	accepted	Likely BOLD
ICA_099	39.44530844019842	10.154303751548381	0.3762905886097158	0.4644175014902878	9404	1446	0.5663697821654684	0.31972076788830717	33.45797472661779	2.5733878668571863e-227	1	29.734268076855408	accepted	Likely BOLD
ICA_100	30.74757033863485	18.55929954816224	0.9359219095463109	1.542982563062741	15664	4833	0.5695930059277412	0.16043006219036576	-4.671200322204708	8.3613478830572e-06	1	n/a	rejected	Unlikely BOLD
ICA_101	9.138130227678838	8.339962932327406	0.10235010152993165	0.13673592718196356	0	149	0.0	0.0	0.0	0.0	-1	n/a	rejected	Unlikely BOLD
ICA_102	22.520265007327453	27.652179946278974	1.5137499106075403	0.5173900857497623	1630	1821	0.42592592592592593	0.5718224427901847	6.48935370106514	1.79579497422368e-10	-1	n/a	rejected	Unlikely BOLD
ICA_103	10.552315761038589	6.442705205189275	0.06785203599895082	0.131213105631067	0	89	0.0	0.0	0.0	0.0	1	6.81068175784848	accepted	Low variance
