subj,ses,task,run,echo,direction,mode,n_pre,n_post,pre,post,json,same_shape3d,same_affine,same_dtype,frames_ok,n_trim,mean_drift,sd_fg_ratio,sd_bg_ratio,tsnr_pre_med,tsnr_post_med,tsnr_gain_med,tsnr_gain_p90,fwhm_ratio,resid_sd_fg,resid_sd_bg,verdict
sub-P7,ses-11,BOLDREST2,run-1,3,PA,complex,513,510,F:/JIVillL/openneuro/ds006072/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.json,True,True,True,True,3,0.0021205327939242125,0.8388504385948181,0.38939979672431946,9.592947006225586,11.220907211303711,1.1697038412094116,1.3045657873153687,1.000156465169139,307.6191408527975,50.25494585003464,✓ PASS
sub-P7,ses-11,BOLDREST2,run-1,4,PA,complex,513,510,F:/JIVillL/openneuro/ds006072/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.json,True,True,True,True,3,0.005832094233483076,0.8399576544761658,0.34214505553245544,6.16791296005249,7.165782928466797,1.161784052848816,1.28635835647583,1.000916738872698,273.70670266861623,41.8929638112657,✓ PASS
sub-P7,ses-11,BOLDREST2,run-1,5,PA,complex,513,510,F:/JIVillL/openneuro/ds006072/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-11/func/sub-P7_ses-11_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.json,True,True,True,True,3,0.013418683782219887,0.8363790512084961,0.3096601366996765,4.056499481201172,4.6830244064331055,1.154449701309204,1.27130925655365,0.9999199643790363,245.23861478437664,38.439271305708616,✓ PASS
sub-P7,ses-7,BOLDREST1,run-1,1,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-1_part-mag_bold.json,True,True,True,True,3,0.00039743122761137784,0.7944188714027405,0.6051538586616516,21.171667098999023,26.582443237304688,1.2555668354034424,1.3196430206298828,0.9991030996493139,446.7681357811173,108.44628357735348,✓ PASS
sub-P7,ses-7,BOLDREST1,run-1,2,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-2_part-mag_bold.json,True,True,True,True,3,0.0007949320133775473,0.8422810435295105,0.4354226589202881,13.785442352294922,16.179058074951172,1.1736335754394531,1.2771137952804565,0.9990873017383631,342.55342300405476,71.52934807521267,✓ PASS
sub-P7,ses-7,BOLDREST1,run-1,3,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-3_part-mag_bold.json,True,True,True,True,3,0.0021147464867681265,0.861375629901886,0.3688051402568817,8.842905044555664,10.116219520568848,1.1439927816390991,1.2543007135391235,1.0000864960745026,293.1567478109744,49.29302648914203,✗ SIN DENOISING
sub-P7,ses-7,BOLDREST1,run-1,4,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-4_part-mag_bold.json,True,True,True,True,3,0.005975231993943453,0.8647210597991943,0.31919965147972107,5.640718936920166,6.397261619567871,1.1341216564178467,1.2355908155441284,1.0011538816303118,262.04174062133785,39.784115378302765,✗ SIN DENOISING
sub-P7,ses-7,BOLDREST1,run-1,5,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t1/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST1_dir-PA_run-1_echo-5_part-mag_bold.json,True,True,True,True,3,0.013753301464021206,0.864810585975647,0.28780660033226013,3.6871514320373535,4.139075756072998,1.1225672960281372,1.2099719047546387,1.000295857071673,232.23055656334114,35.49974535919671,✗ SIN DENOISING
sub-P7,ses-7,BOLDREST2,run-1,1,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-1_part-mag_bold.json,True,True,True,True,3,0.0003910299565177411,0.7932850122451782,0.6229639649391174,22.292877197265625,28.244413375854492,1.2669702768325806,1.3356783390045166,0.9990723110999277,429.7175551921567,106.95293190775085,✓ PASS
sub-P7,ses-7,BOLDREST2,run-1,2,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-2_part-mag_bold.json,True,True,True,True,3,0.0007879125187173486,0.8318930864334106,0.468613862991333,14.878674507141113,17.841983795166016,1.199164867401123,1.2948194742202759,0.9990897182667702,331.2393313619189,72.20943997208929,✓ PASS
sub-P7,ses-7,BOLDREST2,run-1,3,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-3_part-mag_bold.json,True,True,True,True,3,0.0021532170940190554,0.8417984843254089,0.3978884518146515,9.615949630737305,11.288108825683594,1.1738942861557007,1.2867392301559448,1.0000237601243773,289.39188329702,49.91959080181205,✓ PASS
sub-P7,ses-7,BOLDREST2,run-1,4,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-4_part-mag_bold.json,True,True,True,True,3,0.006188822444528341,0.8388468027114868,0.3465932011604309,6.160762310028076,7.167557239532471,1.163420557975769,1.2731754779815674,1.0009982946110787,261.8540752715653,40.71811773986989,✓ PASS
sub-P7,ses-7,BOLDREST2,run-1,5,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/t0/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST2_dir-PA_run-1_echo-5_part-mag_bold.json,True,True,True,True,3,0.01439934503287077,0.8390539288520813,0.30680227279663086,3.9879281520843506,4.6050705909729,1.1547526121139526,1.2479346990585327,1.0000999104836874,234.12481909250047,36.52750542515346,✓ PASS
sub-P7,ses-7,BOLDREST3,run-1,1,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/texc/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-1_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/texc/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-1_part-mag_bold.json,True,True,True,True,3,0.00039896491216495633,0.8173074126243591,0.6711925268173218,21.217897415161133,26.053844451904297,1.227918267250061,1.2793481349945068,0.9990574538393883,413.3863763809251,100.77541097794814,✓ PASS
sub-P7,ses-7,BOLDREST3,run-1,2,PA,complex,516,513,F:/JIVillL/openneuro/ds006072/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/texc/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-2_part-mag_bold.nii.gz,D:/ProfessionalProyects/PsyConn/derivatives/ds006072/prep/nordic/data/texc/sub-P7/ses-7/func/sub-P7_ses-7_task-BOLDREST3_dir-PA_run-1_echo-2_part-mag_bold.json,True,True,True,True,3,0.0008007135475054383,0.8609086871147156,0.49759986996650696,13.833782196044922,16.007728576660156,1.1571476459503174,1.2387683391571045,0.9990961496461995,312.465825615058,66.40321160314343,✓ PASS
