subj,ses,task,run,dir,n_echoes,shape,n_frames,has_noise,noise_ratio,tr,mode,noise_volume_last,n_trimmed,n_analytic,verdict,reason
sub-P4,ses-10,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0376,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P4,ses-6,BOLDREST1,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.034,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P4,ses-6,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0345,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P4,ses-6,BOLDREST3,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0344,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P5,ses-10,BOLDREST1,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.039,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P5,ses-10,BOLDREST1,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.039,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST1NORDICME52mm' != task-BOLDREST1 (alerta para §5.2)
sub-P5,ses-10,BOLDREST2,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0394,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P5,ses-10,BOLDREST2,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0394,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST2NORDICME52mm' != task-BOLDREST2 (alerta para §5.2)
sub-P5,ses-10,BOLDREST3,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0397,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P5,ses-10,BOLDREST3,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0397,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST3NORDICME52mm' != task-BOLDREST3 (alerta para §5.2)
sub-P5,ses-10,BOLDREST4,run-1,PA,5,"(110, 110, 72, 513)",513.0,True,0.0398,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
sub-P5,ses-10,BOLDREST4,run-2,PA,5,"(110, 110, 72, 513)",513.0,True,0.0398,1.761,complex,3.0,3.0,510.0,⚠ WARN,B0FieldSource ausente (alerta para §5.3); TaskName='BOLDREST4NORDICME52mm' != task-BOLDREST4 (alerta para §5.2)
