"metric","n","dz","ci_lo","ci_hi","ci_method","n_boot"
"mean_strength",15,-0.301220138957871,-1.05886707411298,0.324467482827379,"BCa",5000
"modularity",15,-0.145599455812862,-0.73009700182957,0.412094582081572,"BCa",5000
"clustering",15,-0.700667020815998,-1.45249612109396,-0.0579819247929882,"BCa",5000
"global_efficiency",15,-0.526517506889763,-1.35344088147304,0.157347053317035,"BCa",5000
"char_path_length",15,0.602927950035914,-0.0935331245718981,1.38347144365776,"BCa",5000
"density",15,0.682402786852485,0.162659676964829,1.24762011061933,"BCa",5000
