"metric","plano","n_subj","mode","d_z","method","obs_diff","p_param","p_perm","sign_match","p_order_match","agreement"
"density","global",15,"exact (2^15=32768 perms)",0.682402786852485,"parallel (t + Wilcoxon)",0.00655321689804433,0.0836047367130717,0.0839716398628785,TRUE,TRUE,"acuerdo"
"clustering","global",15,"exact (2^15=32768 perms)",-0.700667020815998,"parallel (t + Wilcoxon)",-0.027522326822479,0.0836047367130717,0.0839716398628785,TRUE,TRUE,"acuerdo"
"small_worldness","global",15,"exact (2^15=32768 perms)",-0.703529778952817,"parallel (t + Wilcoxon)",-0.321831709099693,0.0836047367130717,0.0839716398628785,TRUE,TRUE,"acuerdo"
"global_efficiency","global",15,"exact (2^15=32768 perms)",-0.526517506889763,"parallel (t + Wilcoxon)",-0.0122612320630063,0.120538318762689,0.120849736031005,TRUE,TRUE,"acuerdo"
"char_path_length","global",15,"exact (2^15=32768 perms)",0.602927950035914,"parallel (t + Wilcoxon)",0.117055111584136,0.113551968987304,0.120849736031005,TRUE,TRUE,"acuerdo"
"eigenvector","nodal",15,"exact (2^15=32768 perms)",0.498214989272781,"parallel (t + Wilcoxon)",0.030898017002959,0.120538318762689,0.120849736031005,TRUE,TRUE,"acuerdo"
"betweenness","nodal",15,"exact (2^15=32768 perms)",-0.498923936085581,"parallel (t + Wilcoxon)",-11.8772988505747,0.120538318762689,0.120849736031005,TRUE,TRUE,"acuerdo"
"degree_entropy","advanced",15,"exact (2^15=32768 perms)",0.555448430113144,"parallel (t + Wilcoxon)",0.102066655408104,0.120538318762689,0.120849736031005,TRUE,TRUE,"acuerdo"
"participation","nodal",15,"exact (2^15=32768 perms)",0.478507250013054,"parallel (t + Wilcoxon)",0.0379100515117677,0.122833885673747,0.123907758348846,TRUE,TRUE,"acuerdo"
"assortativity","global",15,"exact (2^15=32768 perms)",-0.373703039593639,"parallel (t + Wilcoxon)",-0.0676001977836318,0.22076652960076,0.220852024779517,TRUE,TRUE,"acuerdo"
"mean_strength","global",15,"exact (2^15=32768 perms)",-0.301220138957871,"parallel (t + Wilcoxon)",-1.66639045129858,0.310643423378323,0.316687889607417,TRUE,TRUE,"acuerdo"
"modularity","global",15,"exact (2^15=32768 perms)",-0.150240236312424,"parallel (t + Wilcoxon)",-0.0112690294952471,0.617392491037866,0.608265433794135,TRUE,TRUE,"acuerdo"
"closeness","nodal",15,"exact (2^15=32768 perms)",0.0847834540945281,"parallel (t + Wilcoxon)",0.000416809985408263,0.74749551566512,0.729378375904056,TRUE,TRUE,"acuerdo"
