"metric","mean_LSD","mean_PLCB","diff","cohen_d","d_corrected","d_report","ICC_avg_mean","attenuation_valid","interpretation","p_FDR","significant"
"small_worldness",2.10599266331603,2.43514047794054,-0.329147814624517,-1.1280839427709,NA,NA,NA,NA,"unknown",0.0390981455811648,TRUE
"density",0.135211723142758,0.128658506244713,0.00655321689804433,0.589796642647347,0.765886642090815,0.589796642647347,0.593028550122535,FALSE,"cautious",0.0694562428077826,FALSE
"clustering",0.536641367448465,0.564163694270944,-0.027522326822479,-0.917286627391128,-1.09604105309291,-0.917286627391128,0.700416682967718,FALSE,"confirmatory",0.0694562428077826,FALSE
"char_path_length",3.59453181144034,3.4774766998562,0.117055111584136,0.529472092296365,0.798342786242109,0.529472092296365,0.439852776004206,FALSE,"cautious",0.104817202142127,FALSE
"global_efficiency",0.314101580019256,0.326362812082263,-0.0122612320630063,-0.547297694599508,-0.736077528533968,-0.547297694599508,0.552840840411403,FALSE,"cautious",0.12138124406872,FALSE
"cons_iterations",2.13333333333333,2.46666666666667,-0.333333333333333,-0.657284427044708,NA,NA,NA,NA,"unknown",0.188541347128457,FALSE
"assortativity",0.400799864076697,0.468400061860329,-0.0676001977836318,-0.543992801083832,NA,NA,NA,NA,"unknown",0.218340523780971,FALSE
"mean_strength",51.9020066000676,53.5683970513662,-1.66639045129858,-0.302008034056244,-0.39998306130083,-0.302008034056244,0.570103612011297,FALSE,"cautious",0.295708643408213,FALSE
"modularity",0.417197711858324,0.428772828508345,-0.0115751166500215,-0.189437025103357,-0.229697467135144,-0.189437025103357,0.680169756730504,FALSE,"confirmatory",0.600393720074342,FALSE
