"seed","roi","roi_label","network","n","mean_LSD","mean_PLCB","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"AMY",1,"LH_Vis_1","Vis",15,0.182841403049919,0.293921443595702,-0.111080040545783,-0.544931074005263,-0.817245301538691,0.053286242900855,0.0500579654932533,0.195955860990241,0.223788551616897,FALSE,FALSE
"AMY",2,"LH_Vis_2","Vis",15,-0.0118246278516332,0.0946540889930307,-0.106478716844664,-0.727801352058884,-0.855602696604091,0.0136660045451395,0.0134873785975619,0.119840347549685,0.133700970445396,FALSE,FALSE
"AMY",3,"LH_Vis_3","Vis",15,0.082805636683255,0.158512752753152,-0.0757071160698972,-0.456730689470815,-0.685458312266778,0.098680115441974,0.132298661876269,0.264694897891413,0.310970050595767,FALSE,FALSE
"AMY",4,"LH_Vis_4","Vis",15,0.112894058651428,0.225649269253088,-0.112755210601661,-0.652768678153932,-0.917550454997201,0.0241166472344472,0.0570833388248299,0.161851607415673,0.2243965733114,FALSE,FALSE
"AMY",5,"LH_Vis_5","Vis",15,-0.0307544619833616,0.00259109949338433,-0.0333455614767459,-0.215611686716523,-0.267355839736065,0.417706770591273,0.443231075591052,0.581490617762198,0.612464758998545,FALSE,FALSE
"AMY",6,"LH_Vis_6","Vis",15,0.187258929797219,0.236619450694053,-0.049360520896834,-0.271726202758358,-0.423483989619195,0.31044621237989,0.378674693023085,0.481508411038197,0.560635259800412,FALSE,FALSE
"AMY",7,"LH_Vis_7","Vis",15,-0.0160809419780385,0.0309238486414327,-0.0470047906194712,-0.304808352580635,-0.424196417426364,0.25746342515459,0.320255384944945,0.458606726056614,0.525310991132715,FALSE,FALSE
"AMY",8,"LH_Vis_8","Vis",15,0.141140319497232,0.20718191212026,-0.0660415926230287,-0.798472132547834,-0.50731287732484,0.00795042174543535,0.0134873785975619,0.0940254660122054,0.133700970445396,FALSE,FALSE
"AMY",9,"LH_Vis_9","Vis",15,0.033655726041256,0.0664089510084376,-0.0327532249671817,-0.207723001805092,-0.284654768755299,0.434553591130988,0.629260787503937,0.589094407238121,0.728281520562932,FALSE,FALSE
"AMY",10,"LH_Vis_10","Vis",15,0.184066231023362,0.225170598675064,-0.041104367651702,-0.211840977126222,-0.326203923626777,0.425705555951725,0.410198331513046,0.584704016608394,0.588208928207386,FALSE,FALSE
"AMY",11,"LH_Vis_11","Vis",15,0.0800571517883592,0.139679660175853,-0.0596225083874941,-0.436154634331626,-0.476517402372397,0.113314520762877,0.073601968391655,0.283908909164132,0.258173058358421,FALSE,FALSE
"AMY",12,"LH_Vis_12","Vis",15,0.0930683813154391,0.14441073689971,-0.0513423555842714,-0.298872551669501,-0.444651754358496,0.266424184352191,0.132298661876269,0.46018722751742,0.310970050595767,FALSE,FALSE
"AMY",13,"LH_Vis_13","Vis",15,0.0170219688044957,0.168249228996091,-0.151227260191595,-0.946402470933412,-1.22567194803051,0.00254595184720499,0.00493247224052953,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",14,"LH_Vis_14","Vis",15,0.0495208722564262,0.172484907611143,-0.122964035354716,-0.807761837273197,-0.869846025691154,0.00740199461490927,0.0114900673429755,0.0940254660122054,0.133700970445396,FALSE,FALSE
"AMY",15,"LH_SomMot_1","SomMot",15,0.167334683063269,0.248886217944177,-0.0815515348809079,-0.356171651103755,-0.499899129176511,0.189394065426522,0.201279706355701,0.384517745927781,0.402559412711401,FALSE,FALSE
"AMY",16,"LH_SomMot_2","SomMot",15,0.159492572820162,0.261375192244533,-0.10188261942437,-0.513331500953181,-0.654809117918421,0.066715417457968,0.0832230814775737,0.223692870300246,0.263539758012317,FALSE,FALSE
