"seed","roi","roi_label","network","n","mean_LSD","mean_PLCB","mean_delta","d_z","d_av","p_value","p_wilcox","p_FDR","p_wilcox_FDR","significant","sig_wilcox"
"AMY",25,"LH_SomMot_11","SomMot",15,0.0399549310216804,0.196958904497953,-0.157003973476273,-1.18944219791494,-1.26596229401745,0.000407247600868064,0.0023768350959738,0.075333243220081,0.130895766233295,FALSE,FALSE
"AMY",29,"LH_SomMot_15","SomMot",15,0.0472291059870605,0.216352157215286,-0.169123051228226,-1.1242089300188,-1.4134095736031,0.000660817922983167,0.00286559480782183,0.075333243220081,0.130895766233295,FALSE,FALSE
"AMY",34,"LH_DorsAttn_Post_4","DorsAttn",15,0.0981220853083489,0.207730309847276,-0.109608224538927,-0.995924888251384,-0.868242053928967,0.00174263546244788,0.00196552940924164,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",124,"RH_SomMot_9","SomMot",15,0.128090179237198,0.248118158695565,-0.120027979458366,-0.96268432015459,-1.01899440896509,0.00224711157746403,0.00412805010171734,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",40,"LH_DorsAttn_Post_10","DorsAttn",15,0.0302145948799907,0.175185110931063,-0.144970516051072,-0.955318628814008,-1.10469576694548,0.00237763535094933,0.00493247224052953,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",13,"LH_Vis_13","Vis",15,0.0170219688044957,0.168249228996091,-0.151227260191595,-0.946402470933412,-1.22567194803051,0.00254595184720499,0.00493247224052953,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",23,"LH_SomMot_9","SomMot",15,0.108315863134079,0.248873814923867,-0.140557951789788,-0.939590603071745,-1.09666023374109,0.00268262632828231,0.00493247224052953,0.0873769718354809,0.130895766233295,FALSE,FALSE
"AMY",133,"RH_SomMot_18","SomMot",15,0.0489592498015305,0.198205849588604,-0.149246599787073,-0.876130820507977,-1.32996252020352,0.00437127834275262,0.00826562227177156,0.0940254660122054,0.130895766233295,FALSE,FALSE
"AMY",104,"RH_Vis_4","Vis",15,0.116100143031167,0.225191718494918,-0.109091575463752,-0.872273786657083,-0.935143719490339,0.00450313067944175,0.00975977204371061,0.0940254660122054,0.130895766233295,FALSE,FALSE
"AMY",111,"RH_Vis_11","Vis",15,0.0495265944323525,0.142672090495672,-0.093145496063319,-0.868607337709701,-0.786217305251443,0.00463216209793471,0.00975977204371061,0.0940254660122054,0.130895766233295,FALSE,FALSE
"HIP",107,"RH_Vis_7","Vis",15,0.319932480577013,0.475022260068284,-0.155089779491271,-1.01482621702754,-1.59973754490797,0.00150876023681382,0.0069795438131406,0.144863593847151,0.310785426573297,FALSE,FALSE
"HIP",190,"RH_Default_PFCv_1","Default",15,0.042912722375236,-0.105964467241893,0.148877189617129,0.989506720912738,0.982386914773925,0.00183017727094771,0.00826562227177156,0.144863593847151,0.310785426573297,FALSE,FALSE
"HIP",181,"RH_Cont_PFCmp_2","Cont",15,0.00763722787618001,-0.119888465226159,0.127525693102339,0.984188072190306,1.20860656533548,0.00190609991904146,0.0069795438131406,0.144863593847151,0.310785426573297,FALSE,FALSE
"HIP",100,"LH_Default_PHC_1","Default",15,0.470836047231268,0.6183686488176,-0.147532601586332,-0.935862234967978,-0.989306548239792,0.00276054948755134,0.00826562227177156,0.157351320790426,0.310785426573297,FALSE,FALSE
"HIP",113,"RH_Vis_13","Vis",15,0.155522866835503,0.303997080453393,-0.14847421361789,-0.852411083803947,-1.19273046112199,0.0052479194942769,0.0248678593178852,0.178450395125075,0.310785426573297,FALSE,FALSE
"HIP",204,"Subcortex_mAMY-rh","Subcortex",15,0.491361311496128,0.646327043179786,-0.154965731683658,-0.849879314668419,-0.975637096679663,0.0053513119918819,0.0114900673429755,0.178450395125075,0.310785426573297,FALSE,FALSE
"HIP",102,"RH_Vis_2","Vis",15,0.439813433024866,0.601532879266352,-0.161719446241486,-0.846825389266514,-1.18571434377408,0.00547874020120845,0.0134873785975619,0.178450395125075,0.310785426573297,FALSE,FALSE
"HIP",25,"LH_SomMot_11","SomMot",15,0.00549553506183423,0.137000741437314,-0.131505206375479,-0.82359281585067,-1.00997938513746,0.00655261379809934,0.0157854879847244,0.186749493245831,0.310785426573297,FALSE,FALSE
"HIP",27,"LH_SomMot_13","SomMot",15,0.0588023276706165,0.182429451632226,-0.12362712396161,-0.731819761624111,-0.830655108010792,0.0132532672299353,0.0184211824858212,0.262922367981856,0.310785426573297,FALSE,FALSE
"HIP",101,"RH_Vis_1","Vis",15,0.274404896910413,0.384900861114855,-0.110495964204441,-0.722067113815511,-0.920832613311553,0.0142768215561446,0.0214343194310806,0.262922367981856,0.310785426573297,FALSE,FALSE
"NAc",207,"Subcortex_THA-VA-rh","Subcortex",15,0.321707610409139,0.197646132591394,0.124061477817746,1.08867265061818,1.37993167511584,0.000862589143822373,0.00196552940924164,0.148751664138709,0.313731807730518,FALSE,FALSE
"NAc",188,"RH_Default_Temp_4","Default",15,0.117498153181262,-0.000838826585712982,0.118336979766975,1.01614202962452,1.00506668229454,0.00149372016328935,0.00344452408391648,0.148751664138709,0.313731807730518,FALSE,FALSE
"NAc",75,"LH_Default_Temp_2","Default",15,0.0902054899918712,-0.0360924760051559,0.126297965997027,0.959624745312274,1.26779446443642,0.00230042411123197,0.0069795438131406,0.148751664138709,0.376912375592783,FALSE,FALSE
"NAc",81,"LH_Default_Par_3","Default",15,0.122180257297321,-0.0363723922836707,0.158552649580992,0.94318147984573,1.27078494011974,0.00260967831822296,0.00826562227177156,0.148751664138709,0.376912375592783,FALSE,FALSE
"NAc",217,"Subcortex_aHIP-lh","Subcortex",15,-0.00358213597796295,0.107191505512425,-0.110773641490388,-0.905271072968463,-0.955582262690331,0.00349261393726325,0.00412805010171734,0.159263195539204,0.313731807730518,FALSE,FALSE
"NAc",85,"LH_Default_PFC_3","Default",15,0.157539882127554,0.0194028635115755,0.138137018615978,0.783457451054155,0.947824754158136,0.00892316448462565,0.0157854879847244,0.339080250415775,0.415837075748891,FALSE,FALSE
"NAc",140,"RH_DorsAttn_Post_6","DorsAttn",15,-0.0287661434999093,0.0660098540282168,-0.0947759975281261,-0.723168201616256,-1.01161163132474,0.0141574989223604,0.0500579654932533,0.354284439050041,0.422843704534522,FALSE,FALSE
