"","Vis","SomMot","DorsAttn","SalVentAttn","Limbic","Cont","Default","Subcortex"
"Vis",NA,0.0964143999311955,0.125618693178295,0.128049463457899,0.122278500877085,0.205796350800746,0.206794140804773,0.101956101283752
"SomMot",0.0964143999311955,NA,0.215046158233233,0.239148227519112,0.130990805299817,0.255283339460647,0.196692808606194,0.13227465311186
"DorsAttn",0.125618693178295,0.215046158233233,NA,0.212784054266431,0.188892211705715,0.24929295325837,0.29279904785184,0.169574521309076
"SalVentAttn",0.128049463457899,0.239148227519112,0.212784054266431,NA,0.183219265886866,0.264463952989749,0.277918137783084,0.162756150899884
"Limbic",0.122278500877085,0.130990805299817,0.188892211705715,0.183219265886866,NA,0.17521367344795,0.127172947187875,0.0903360779002552
"Cont",0.205796350800746,0.255283339460647,0.24929295325837,0.264463952989749,0.17521367344795,NA,0.299409062106026,0.181308703294272
"Default",0.206794140804773,0.196692808606194,0.29279904785184,0.277918137783084,0.127172947187875,0.299409062106026,NA,0.139443948413219
"Subcortex",0.101956101283752,0.13227465311186,0.169574521309076,0.162756150899884,0.0903360779002552,0.181308703294272,0.139443948413219,NA
