"net1","net2","subject","condition","connectivity"
"Default","SalVentAttn","sub-P3","MTP",0.27072085772878
"Default","SalVentAttn","sub-P3","PSIL",0.0502533945560613
"Default","SalVentAttn","sub-P4","MTP",0.157244037804362
"Default","SalVentAttn","sub-P4","PSIL",0.8082253789729
"Default","SalVentAttn","sub-P5","MTP",0.125600133231073
"Default","SalVentAttn","sub-P5","PSIL",0.319126708766418
"Default","SalVentAttn","sub-P6","MTP",-0.10085795684595
"Default","SalVentAttn","sub-P6","PSIL",0.35116909555187
"Default","SalVentAttn","sub-P7","MTP",0.346922405288807
"Default","SalVentAttn","sub-P7","PSIL",0.524283541066043
"Default","SomMot","sub-P1","MTP",0.258612683568025
"Default","SomMot","sub-P1","PSIL",0.521427491992582
"Default","SomMot","sub-P3","MTP",0.429721628980994
"Default","SomMot","sub-P3","PSIL",0.20844936489263
"Default","SomMot","sub-P4","MTP",0.220023339025023
"Default","SomMot","sub-P4","PSIL",0.784467921360411
"Default","SomMot","sub-P5","MTP",0.12166603876652
"Default","SomMot","sub-P5","PSIL",0.293084745229994
"Default","SomMot","sub-P6","MTP",0.0310363711624935
"Default","SomMot","sub-P6","PSIL",0.283429748071616
"Default","SomMot","sub-P7","MTP",0.374535503445746
"Default","SomMot","sub-P7","PSIL",0.52489314503873
"Default","Subcortex","sub-P1","MTP",0.334120719662979
"Default","Subcortex","sub-P1","PSIL",0.46570675679184
"Default","Subcortex","sub-P3","MTP",0.325672208044377
"Default","Subcortex","sub-P3","PSIL",0.245172676300742
"Default","Subcortex","sub-P4","MTP",0.149276044868395
"Default","Subcortex","sub-P4","PSIL",0.438510203429165
"Default","Subcortex","sub-P5","MTP",0.178971737147706
"Default","Subcortex","sub-P5","PSIL",0.378899238506143
"Default","Subcortex","sub-P6","MTP",0.156529612415593
"Default","Subcortex","sub-P6","PSIL",0.290111735451177
"Default","Subcortex","sub-P7","MTP",0.198137422395167
"Default","Subcortex","sub-P7","PSIL",0.360970824534465
"Default","Vis","sub-P1","MTP",0.326335699935903
"Default","Vis","sub-P1","PSIL",0.386782531227845
"Default","Vis","sub-P3","MTP",0.296475888444419
"Default","Vis","sub-P3","PSIL",0.28963362813672
"Default","Vis","sub-P4","MTP",0.186174734159788
"Default","Vis","sub-P4","PSIL",0.742884879674733
"Default","Vis","sub-P5","MTP",0.168456710975937
"Default","Vis","sub-P5","PSIL",0.320902766897937
"Default","Vis","sub-P6","MTP",-0.0572228839695278
"Default","Vis","sub-P6","PSIL",0.316076734868746
"Default","Vis","sub-P7","MTP",0.310788208007943
"Default","Vis","sub-P7","PSIL",0.415492661577119
"DorsAttn","Limbic","sub-P1","MTP",0.153226546758593
"DorsAttn","Limbic","sub-P1","PSIL",0.347645456225125
"DorsAttn","Limbic","sub-P3","MTP",0.24130779792958
"DorsAttn","Limbic","sub-P3","PSIL",0.234099819545567
"DorsAttn","Limbic","sub-P4","MTP",0.0908836382092684
"DorsAttn","Limbic","sub-P4","PSIL",0.488101405029515
"DorsAttn","Limbic","sub-P5","MTP",0.0954999833477048
"DorsAttn","Limbic","sub-P5","PSIL",0.270205863350352
"DorsAttn","Limbic","sub-P6","MTP",-0.0601467340716852
"DorsAttn","Limbic","sub-P6","PSIL",0.150089110486804
"DorsAttn","Limbic","sub-P7","MTP",0.217732903110106
"DorsAttn","Limbic","sub-P7","PSIL",0.381715750880497
"DorsAttn","SalVentAttn","sub-P1","MTP",0.628494179406506
"DorsAttn","SalVentAttn","sub-P1","PSIL",0.76857446961155
"DorsAttn","SalVentAttn","sub-P3","MTP",0.643793154450438
"DorsAttn","SalVentAttn","sub-P3","PSIL",0.547364476895635
"DorsAttn","SalVentAttn","sub-P4","MTP",0.361173607727855
"DorsAttn","SalVentAttn","sub-P4","PSIL",1.03184416494105
"DorsAttn","SalVentAttn","sub-P5","MTP",0.351282087463666
"DorsAttn","SalVentAttn","sub-P5","PSIL",0.622265146226608
"DorsAttn","SalVentAttn","sub-P6","MTP",0.430919914498395
"DorsAttn","SalVentAttn","sub-P6","PSIL",0.604443629125554
"DorsAttn","SalVentAttn","sub-P7","MTP",0.730485145462255
"DorsAttn","SalVentAttn","sub-P7","PSIL",0.848360527807304
"DorsAttn","SomMot","sub-P1","MTP",0.528866579715211
"DorsAttn","SomMot","sub-P1","PSIL",0.72169376239158
"DorsAttn","SomMot","sub-P3","MTP",0.624646509555688
"DorsAttn","SomMot","sub-P3","PSIL",0.564190431461776
"DorsAttn","SomMot","sub-P4","MTP",0.325157468834303
"DorsAttn","SomMot","sub-P4","PSIL",0.961809968062156
"DorsAttn","SomMot","sub-P5","MTP",0.292087755470541
"DorsAttn","SomMot","sub-P5","PSIL",0.595694082170769
"DorsAttn","SomMot","sub-P6","MTP",0.29916650133171
"DorsAttn","SomMot","sub-P6","PSIL",0.518781351399376
"DorsAttn","SomMot","sub-P7","MTP",0.822741319792019
"DorsAttn","SomMot","sub-P7","PSIL",0.820773488613212
"DorsAttn","Subcortex","sub-P1","MTP",0.20685388571024
"DorsAttn","Subcortex","sub-P1","PSIL",0.419303983454664
"DorsAttn","Subcortex","sub-P3","MTP",0.331434463469611
"DorsAttn","Subcortex","sub-P3","PSIL",0.246687324033401
"DorsAttn","Subcortex","sub-P4","MTP",0.13078343444921
"DorsAttn","Subcortex","sub-P4","PSIL",0.45324396743482
"DorsAttn","Subcortex","sub-P5","MTP",0.152076174493725
"DorsAttn","Subcortex","sub-P5","PSIL",0.36921921468779
"DorsAttn","Subcortex","sub-P6","MTP",0.0626272648832091
"DorsAttn","Subcortex","sub-P6","PSIL",0.255679889068957
"DorsAttn","Subcortex","sub-P7","MTP",0.231896649002718
"DorsAttn","Subcortex","sub-P7","PSIL",0.388984621183537
