"subject","condition","density","degree_entropy"
"sub-P1","PSIL",0.1,5.32960132427147
"sub-P1","MTP",0.1,5.41706763865572
"sub-P3","PSIL",0.1,5.37123228220922
"sub-P3","MTP",0.1,5.3344620761273
"sub-P4","PSIL",0.1,5.13747414470796
"sub-P4","MTP",0.1,5.18815393231021
"sub-P5","PSIL",0.1,5.43975313946492
"sub-P5","MTP",0.1,5.0534628346439
"sub-P6","PSIL",0.1,5.25883752628649
"sub-P6","MTP",0.1,5.10142945212624
"sub-P7","PSIL",0.1,5.0145872943686
"sub-P7","MTP",0.1,4.85357222667987
"sub-P1","PSIL",0.2,6.05637559395518
"sub-P1","MTP",0.2,6.16404479013688
"sub-P3","PSIL",0.2,5.96400093181951
"sub-P3","MTP",0.2,6.07826982426373
"sub-P4","PSIL",0.2,5.77195694108966
"sub-P4","MTP",0.2,5.99405787042672
"sub-P5","PSIL",0.2,6.02461879533799
"sub-P5","MTP",0.2,5.8738470554906
"sub-P6","PSIL",0.2,6.03298870723506
"sub-P6","MTP",0.2,5.74259142171672
"sub-P7","PSIL",0.2,5.89295556380752
"sub-P7","MTP",0.2,5.62910672623783
"sub-P1","PSIL",0.3,6.45147256479636
"sub-P1","MTP",0.3,6.30121860321988
"sub-P3","PSIL",0.3,6.3454746655869
"sub-P3","MTP",0.3,6.38347106506924
"sub-P4","PSIL",0.3,5.97060359875781
"sub-P4","MTP",0.3,6.37940836484842
"sub-P5","PSIL",0.3,6.30650390936213
"sub-P5","MTP",0.3,6.35062781561404
"sub-P6","PSIL",0.3,6.38552260779066
"sub-P6","MTP",0.3,6.08308884935442
"sub-P7","PSIL",0.3,6.1987220141119
"sub-P7","MTP",0.3,6.33437950164389
