"pair","n","delta","d_z","t","p_one","BF10_one","p_FDR_one","significant_one"
"Default↔SomMot",6,0.196692808606194,0.777257903376537,1.90388526181799,0.0576435555367135,2.12326120816203,0.0576435555367135,FALSE
"Default↔Vis",6,0.206794140804773,0.962928835856817,2.35868430646142,0.0324284334072926,3.29425541841124,0.0405355417591158,TRUE
"Default↔Subcortex",6,0.139443948413219,1.13769320807243,2.7867678436075,0.0192960007479798,4.88954419523744,0.0405355417591158,TRUE
"Cont↔Vis",6,0.205796350800746,1.0062586625012,2.46482027238341,0.0284454037852218,3.6399013170332,0.0405355417591158,TRUE
"Cont↔SomMot",6,0.255283339460647,1.0763400680328,2.63648395639289,0.02308560982881,4.26644440383611,0.0405355417591158,TRUE
