"subject","condition","degree_entropy"
"sub-P1","MTP",6.16404479013688
"sub-P1","PSIL",6.05637559395518
"sub-P3","MTP",6.07826982426373
"sub-P3","PSIL",5.96400093181951
"sub-P4","MTP",5.99405787042672
"sub-P4","PSIL",5.77195694108966
"sub-P5","MTP",5.8738470554906
"sub-P5","PSIL",6.02461879533799
"sub-P6","MTP",5.74259142171672
"sub-P6","PSIL",6.03298870723506
"sub-P7","MTP",5.62910672623783
"sub-P7","PSIL",5.89295556380752
