"n_bins","n_pairs","cohen_dz","p_onesided","p_twosided","p_wilcox","mean_C1","mean_C2","diff"
15,6,-1.03059201575108,0.973555822857554,0.052888354284892,0.981984156890883,2.2420597129581,2.73907246942971,-0.497012756471612
20,6,-1.03141788284119,0.973620993467734,0.0527580130645322,0.981984156890883,2.62287092770927,3.13024288522844,-0.50737195751916
30,6,-1.03702863399861,0.974059130699599,0.0518817386008022,0.981984156890883,3.17645257591342,3.69356459960777,-0.517112023694348
40,6,-1.02724054176498,0.973289542558733,0.0534209148825331,0.981984156890883,3.56941993469035,4.09708244039723,-0.527662505706879
