"tipo","metric","d_z","d_av","abs_dz","p_FDR","detectable","n_required","interpretacion"
"global","assortativity",-1.05779940989714,-1.37580250784433,1.05779940989714,0.117426513820221,FALSE,10,"No significativo + infradetectable (no descarta efecto real)"
"global","char_path_length",-1.03530951544767,-1.53493593366605,1.03530951544767,0.117426513820221,FALSE,10,"No significativo + infradetectable (no descarta efecto real)"
"global","clustering",0.972323510589223,0.988768909204618,0.972323510589223,0.117426513820221,FALSE,11,"No significativo + infradetectable (no descarta efecto real)"
"global","mean_strength",0.971293512870366,1.50077878082615,0.971293512870366,0.117426513820221,FALSE,11,"No significativo + infradetectable (no descarta efecto real)"
"global","global_efficiency",0.889893170782723,1.38752315693742,0.889893170782723,0.131844502068985,FALSE,12,"No significativo + infradetectable (no descarta efecto real)"
"global","density",0.782591082550288,1.20852441557621,0.782591082550288,0.163758633959221,FALSE,15,"No significativo + infradetectable (no descarta efecto real)"
"global","small_worldness",0.662116786827915,1.15196235812811,0.662116786827915,0.215491327396755,FALSE,20,"No significativo + infradetectable (no descarta efecto real)"
"global","modularity",-0.622641653373172,-0.44762039609814,0.622641653373172,0.221870256650057,FALSE,23,"No significativo + infradetectable (no descarta efecto real)"
"nodal","eigenvector",1.26143843965516,1.78478067565443,1.26143843965516,0.117426513820221,FALSE,8,"No significativo + infradetectable (no descarta efecto real)"
"nodal","participation",-1.11100230107444,-0.38299391352046,1.11100230107444,0.117426513820221,FALSE,9,"No significativo + infradetectable (no descarta efecto real)"
"nodal","betweenness",-1.06530582356563,-1.34479931649018,1.06530582356563,0.117426513820221,FALSE,10,"No significativo + infradetectable (no descarta efecto real)"
"nodal","closeness",-0.0283659638346467,-0.044259944047362,0.0283659638346467,0.947299107301648,FALSE,9757,"No significativo + infradetectable (no descarta efecto real)"
"advanced","degree_entropy",0.198820958841412,0.266350540704005,0.198820958841412,0.700753851673642,FALSE,201,"No significativo + infradetectable (no descarta efecto real)"
