"pipeline","condition","n_subjects","n_edges","pct_sig_p05","median_abs_qcfc","distance_dependence_rho"
"AsIs","lsd",15,26796,6.21734587251829,0.209785750449589,-0.0164943076595742
"AsIs","plcb",15,26796,6.87042842215256,0.20776689546668,-0.0227631439243288
"AsIs+GSR","lsd",15,26796,4.70219435736677,0.187372661634602,0.0107897299589838
"AsIs+GSR","plcb",15,26796,5.67248843110912,0.194539598569677,0.00676260215200536
"AsIs+aCompCor","lsd",15,26796,4.55665024630542,0.185651134726273,-0.0236708814680741
"AsIs+aCompCor","plcb",15,26796,4.10509031198686,0.1821110609539,0.0579162113810961
