"metric","network","p_value","p_wilcox","d_z","d_av","method","p_FDR"
"POS","Vis",0.0133016075321744,0.0184211824858212,-0.731342837014662,-0.677078204949657,"parallel (t + Wilcoxon)",0.058627597973247
"POS","SomMot",0.0518404693654169,0.073601968391655,-0.548760604567417,-0.687216145721813,"parallel (t + Wilcoxon)",0.138241251641112
"POS","DorsAttn",0.30240077209419,0.55093480568048,-0.276462939423887,-0.389397792311784,"parallel (t + Wilcoxon)",0.40320102945892
"POS","SalVentAttn",0.239235089153212,0.147532419237223,-0.317393515637022,-0.307993938538971,"parallel (t + Wilcoxon)",0.382776142645139
"POS","Limbic",0.723002851898609,0.58949792671724,-0.0933813994508675,-0.116522189401751,"parallel (t + Wilcoxon)",0.723002851898609
"POS","Cont",0.0146568994933118,0.0184211824858212,-0.718618789936038,-0.810000473021613,"parallel (t + Wilcoxon)",0.058627597973247
"POS","Default",0.0696549976711062,0.0832230814775737,-0.507201263844366,-0.476714764826236,"parallel (t + Wilcoxon)",0.139309995342212
"POS","Subcortex",0.634637239618314,0.88708754228948,0.125428128258558,0.120434565132471,"parallel (t + Wilcoxon)",0.723002851898609
"NEG","Vis",0.0829884131243755,0.118312716164607,0.482046988539669,0.679347586496468,"parallel (t + Wilcoxon)",0.221302434998335
"NEG","SomMot",0.388024190027966,0.589638551626567,0.432737182786194,0.585025972004257,"parallel (t + Wilcoxon)",0.517365586703955
"NEG","DorsAttn",0.15192268152507,0.131904094905011,0.406807602693221,0.591988307057918,"parallel (t + Wilcoxon)",0.30384536305014
"NEG","SalVentAttn",0.0616613834639945,0.09383863903411,0.524472808751385,0.510072449870771,"parallel (t + Wilcoxon)",0.221302434998335
"NEG","Limbic",0.266215456331842,0.244293641331777,0.299009065447087,0.318685550235721,"parallel (t + Wilcoxon)",0.425944730130947
"NEG","Cont",0.847943579833979,0.798272981372542,0.0504331568332963,0.0705927898076604,"parallel (t + Wilcoxon)",0.847943579833979
"NEG","Default",0.0574779769848409,0.0832230814775737,0.534347954359955,0.565994633470836,"parallel (t + Wilcoxon)",0.221302434998335
"NEG","Subcortex",0.837592397903529,0.932106941814807,0.0539184795211069,0.0831852539710368,"parallel (t + Wilcoxon)",0.847943579833979
"RATIO","Vis",0.231163229245339,0.58949792671724,0.323206761846411,0.447001360963295,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","SomMot",0.552705611525148,0.589638551626567,0.289486286741876,0.0061403179735738,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","DorsAttn",0.495793218375895,0.660346099350424,0.187291148590347,0.246460154853174,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","SalVentAttn",0.28734873840852,0.378674693023085,0.285581286734848,0.258916727310107,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","Limbic",0.50154797376016,0.711997145588538,0.178125460887341,0.233092036421078,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","Cont",0.17937681933982,0.268066760405714,-0.364946585210473,-0.439380955203967,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","Default",0.344819176711502,0.55093480568048,0.252439289076047,0.254180017814088,"parallel (t + Wilcoxon)",0.552705611525148
"RATIO","Subcortex",0.437859663101184,0.55093480568048,0.20619815126115,0.289586585216681,"parallel (t + Wilcoxon)",0.552705611525148
