"metric","mean_LSD","mean_PLCB","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR"
"POS",0.259066965494747,0.270540522159282,-0.0114735566645352,0.169292321985628,0.0832230814775737,-0.374198732937911,-0.407602772394936,0.150679763742296,"parallel (t + Wilcoxon)",0.169292321985628
"NEG",-0.148422430537142,-0.160714863577622,0.0122924330404799,0.038885680135466,0.0437723237630412,0.58836529964442,0.739233020601499,0.612151315510771,"parallel (t + Wilcoxon)",0.0777713602709321
"RATIO",1.76337417974907,1.69229343515115,0.0710807445979214,0.248960348916941,0.348688077541053,0.310589911190315,0.331118389642947,0.465689035107253,"parallel (t + Wilcoxon)",NA
