"edge_id","var_LSD","var_PLCB","diff"
233,0.0430239411374306,0.0360953147749761,0.00692862636245443
465,0.0333427011890811,0.0629526062371882,-0.0296099050481071
466,0.0527180799103576,0.0774998975483295,-0.0247818176379719
697,0.064502856840561,0.0587657774332581,0.00573707940730293
698,0.0357654171609577,0.0334516029328802,0.0023138142280775
699,0.0360525722229946,0.0442216376713303,-0.00816906544833568
929,0.0671086804497993,0.0374264711015981,0.0296822093482012
930,0.0497585589354716,0.0884448263979266,-0.038686267462455
931,0.0478154059959162,0.0484091857193774,-0.000593779723461162
932,0.0316008500532133,0.0434402742932025,-0.0118394242399893
1161,0.0507544934144972,0.0429085577567925,0.00784593565770468
1162,0.0173662683803285,0.049537547880378,-0.0321712795000495
1163,0.0258037561057676,0.0211663628022031,0.00463739330356451
1164,0.0230154214341661,0.0528568239346577,-0.0298414025004916
1165,0.0287839391309586,0.0208531612919088,0.00793077783904975
1393,0.0473947828620239,0.0598749026195333,-0.0124801197575094
1394,0.0433201716284435,0.119221611865696,-0.075901440237253
1395,0.0543091888568661,0.0405432680521047,0.0137659208047613
1396,0.0503448572554204,0.0473220196712197,0.00302283758420069
1397,0.0426754153946939,0.0851712846446421,-0.0424958692499482
1398,0.0376033993170983,0.0504641041258773,-0.012860704808779
1625,0.0273096804454961,0.113133316370639,-0.0858236359251424
1626,0.0216840817229239,0.0662241734763464,-0.0445400917534225
1627,0.0248223157089581,0.0347686449199128,-0.00994632921095466
1628,0.0515380295394072,0.067706366023145,-0.0161683364837378
1629,0.053532451629004,0.0957128530155606,-0.0421804013865565
1630,0.0358066590046308,0.0410694239509578,-0.00526276494632706
1631,0.0459462937328377,0.0651923414459709,-0.0192460477131332
1857,0.0862960021555685,0.0495876740113597,0.0367083281442087
1858,0.081031785291884,0.0880393228754167,-0.00700753758353267
1859,0.0581382929641989,0.0518084769876269,0.00632981597657199
1860,0.0451591201515002,0.0338440321926872,0.011315087958813
1861,0.0712898441532597,0.183040745756133,-0.111750901602874
1862,0.0446805396765232,0.0685623434623342,-0.023881803785811
1863,0.0374806500838412,0.128705121409889,-0.0912244713260479
1864,0.0578825173641405,0.0708076527603895,-0.012925135396249
2089,0.0651721363987033,0.0339940004764018,0.0311781359223016
2090,0.0355016905889772,0.0636159465791044,-0.0281142559901272
2091,0.0479319424991798,0.0301505219716381,0.0177814205275417
2092,0.046424444842921,0.0928258477872014,-0.0464014029442804
2093,0.0304500841092739,0.0423060807712334,-0.0118559966619596
2094,0.0226755704905562,0.0506465061021679,-0.0279709356116117
2095,0.0412853362745577,0.0698941511283151,-0.0286088148537574
