"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",67.4805006161627,0.665358019512965,32,0,0.00130335037016143,0.825692109004589,-0.164272397036495,0.417278164499737,"R2_peripheral",1
"7Networks_LH_Vis_2",95.5029161495264,0.915958542946509,89,554,0.00170347380476492,0.4615074389454,1.31589535307952,0.703564943267853,"R3_nonhub_connector",1
"7Networks_LH_Vis_3",76.2575029070919,0.701946059475598,49,262,0.00148841529292762,0.440549292496647,-0.0119170244463988,0.65473245563638,"R3_nonhub_connector",1
"7Networks_LH_Vis_4",90.9008173975765,0.90357310893623,78,252,0.00167046219028033,0.565889893608647,0.793112095576801,0.688452170532439,"R3_nonhub_connector",1
"7Networks_LH_Vis_5",44.436745940919,0.385968432720749,11,0,0.00110355986022282,0.799428981731959,-0.963315136510311,0.132426139781009,"R2_peripheral",1
"7Networks_LH_Vis_6",48.244953021974,0.434652233124574,6,225,0.00100311927359328,0.210724770441182,-1.38938129025281,0.454908548762072,"R2_peripheral",1
"7Networks_LH_Vis_7",79.32670664952,0.794968235314014,48,67,0.00152811089011339,0.737057384103715,1.01030574154802,0.464209930982411,"R2_peripheral",1
"7Networks_LH_Vis_8",63.0208144722024,0.515359573986709,37,185,0.00125396903881822,0.646301053638423,0.878475782798066,0.128374935062767,"R2_peripheral",2
"7Networks_LH_Vis_9",65.4895079763328,0.633210987462695,28,0,0.00134638200619002,0.820846644931248,0.32633715442161,0.141864167765563,"R2_peripheral",1
"7Networks_LH_Vis_10",90.7814439971666,0.907322085065451,75,158,0.00165216966759005,0.589590954527691,1.39369079837024,0.620718106310783,"R3_nonhub_connector",1
"7Networks_LH_Vis_11",51.7800454245241,0.462129056951122,18,6,0.00125820394858682,0.659076487858315,-0.589096338936935,0.245346344985677,"R2_peripheral",1
"7Networks_LH_Vis_12",62.8154726293772,0.588333714948341,30,2,0.00135354868289091,0.689935881683447,-0.568120146001151,0.585641768890818,"R2_peripheral",1
"7Networks_LH_Vis_13",88.2130691607031,0.902025117512072,73,94,0.00164590237764201,0.628417964739769,1.58551370961669,0.582614469961159,"R2_peripheral",1
"7Networks_LH_Vis_14",70.6641130402162,0.704805604728742,34,11,0.00147415609373086,0.800114217779323,0.670248087199858,0.312828757229443,"R2_peripheral",1
"7Networks_LH_SomMot_1",53.1218099539906,0.498896494460841,21,95,0.00119287847591617,0.665498521315619,-1.48649930298099,0.304400261630088,"R2_peripheral",3
"7Networks_LH_SomMot_2",79.2981634992784,0.770142868383045,65,139,0.00147141354747821,0.649558331694083,-0.333790809219557,0.57882982314714,"R2_peripheral",3
"7Networks_LH_SomMot_3",71.1519673498044,0.697220262149976,51,188,0.00139378298603131,0.720064220230009,0.124025976126254,0.276149406199076,"R2_peripheral",3
"7Networks_LH_SomMot_4",70.4076554040313,0.680311370403564,47,25,0.00138330177500246,0.81373851654573,0.438302850450362,0.0918430126224377,"R2_peripheral",3
"7Networks_LH_SomMot_5",74.9398227107639,0.744029849946095,56,9,0.0014240780240083,0.802078667586335,0.834479680061161,0.196751041062103,"R2_peripheral",3
"7Networks_LH_SomMot_6",53.5742783797141,0.51076001314761,23,6,0.00124235701689409,0.913903419501025,-1.171518008558,0.181033850426333,"R2_peripheral",3
"7Networks_LH_SomMot_7",86.8432528110812,0.868294734076904,87,584,0.00165745232242787,0.567055918062073,-0.0831197636694022,0.687260909443746,"R3_nonhub_connector",3
"7Networks_LH_SomMot_8",89.2757519602263,0.911497949588649,97,300,0.00167309812313119,0.565427016921225,0.730929294050332,0.616711389249719,"R2_peripheral",3
