"node","strength","eigenvector","degree","betweenness","closeness","local_clustering","within_module_z","participation","role","module"
"7Networks_LH_Vis_1",87.7465481773596,0.591155802998928,44,0,0.00194800315101774,0.723122353343838,0.439677057385299,0.439117893617037,"R2_peripheral",1
"7Networks_LH_Vis_2",85.9397140765738,0.54165888492514,34,138,0.00200378350819192,0.690587389789204,1.08162080115646,0.18672166009992,"R2_peripheral",1
"7Networks_LH_Vis_3",85.5559539140039,0.53448173891535,32,166,0.00195120808779678,0.592409589204539,-0.36431656273623,0.435844163018171,"R2_peripheral",1
"7Networks_LH_Vis_4",87.3791273726505,0.573965824658743,39,7,0.0020105504905131,0.723779441608996,0.515577790475231,0.396494022045569,"R2_peripheral",1
"7Networks_LH_Vis_5",38.9612222687003,0.220274979157933,4,0,0.00131483945200732,0.84294407886499,-2.45472582166438,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_6",20.9632112270978,0.132151680170801,0,0,NA,0,0,0,"R1_ultra_peripheral",2
"7Networks_LH_Vis_7",70.5407734254049,0.434476922700953,25,69,0.00183311696901008,0.765653861109757,0.253604391099625,0.052508394408149,"R2_peripheral",1
"7Networks_LH_Vis_8",96.6333174999532,0.666690335994504,74,0,0.00220291664638188,0.725504550748759,0.413574347127656,0.518293272494489,"R2_peripheral",1
"7Networks_LH_Vis_9",61.598413430913,0.367556587560727,19,0,0.00172310511824209,0.893738911810964,-0.371349311001604,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_10",73.0485756977037,0.473795986416561,23,0,0.00182889387818687,0.921334880915855,0.361972581102694,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_11",74.9069947782074,0.48341086901622,27,10,0.0018860288101831,0.838548220560736,0.756857835576599,0,"R1_ultra_peripheral",1
"7Networks_LH_Vis_12",84.5697980485043,0.565053681293925,37,148,0.00206789352754122,0.605893667146525,-0.206387279387573,0.555440947682348,"R2_peripheral",1
"7Networks_LH_Vis_13",95.8957985125226,0.633769055559409,53,58,0.00218974007388194,0.657683107761008,0.984174810561969,0.53274227107242,"R2_peripheral",1
"7Networks_LH_Vis_14",79.5198257129523,0.539001179356135,33,0,0.00198210660718551,0.819747683915365,0.945640816538594,0.22541046303686,"R2_peripheral",1
"7Networks_LH_SomMot_1",104.024984452073,0.715903457504024,77,2,0.00229578831725594,0.856608752123602,-0.459834125977601,0.240173091128329,"R2_peripheral",3
"7Networks_LH_SomMot_2",116.763360896698,0.800351543641348,94,0,0.00247903019971395,0.812781840915549,-0.177433391474505,0.400395850387945,"R2_peripheral",3
"7Networks_LH_SomMot_3",111.892281352214,0.777762507123385,88,0,0.00239736474232984,0.812298402566961,-0.180121464896163,0.348352481247371,"R2_peripheral",3
