"subject","condition","mean_strength__TEDANA+aCompCor","mean_strength__TEDANA","mean_strength__TEDANA+24P","mean_strength__OC+Siegel","mean_strength__OC+24P","mean_strength__OC+aCompCor","mean_strength__OC+36P+GSR","global_efficiency__TEDANA+aCompCor","global_efficiency__TEDANA","global_efficiency__TEDANA+24P","global_efficiency__OC+Siegel","global_efficiency__OC+24P","global_efficiency__OC+aCompCor","global_efficiency__OC+36P+GSR","clustering__TEDANA+aCompCor","clustering__TEDANA","clustering__TEDANA+24P","clustering__OC+Siegel","clustering__OC+24P","clustering__OC+aCompCor","clustering__OC+36P+GSR","modularity__TEDANA+aCompCor","modularity__TEDANA","modularity__TEDANA+24P","modularity__OC+Siegel","modularity__OC+24P","modularity__OC+aCompCor","modularity__OC+36P+GSR"
"sub-P1","psil",125.8336773643,133.13649771428,148.801379668098,69.0451686296944,122.364850600944,110.149813340255,38.0788175774776,0.569667063084379,0.618635295600275,0.656552362035308,0.38123148951657,0.547322790396997,0.500666818996453,0.247810719311852,0.702146831919964,0.639040163696775,0.68389241501111,0.61718850389688,0.679728617392185,0.706139369195002,0.573634469362492,0.388610513047101,0.299517091844644,0.360921788287496,0.400920802995118,0.321113754645369,0.338512309306363,0.554908229007176
"sub-P1","mtp",91.658028463446,84.94117025952,95.4564635035455,62.0921313987924,74.7925989215244,80.4094403607577,47.4373324298309,0.464045806133116,0.472629395826321,0.478641516990206,0.359715114009375,0.386343822888442,0.404909163819745,0.283540974610525,0.660462057593935,0.606983206690204,0.663937010316494,0.639036303944572,0.665737547992984,0.673567044523598,0.596616178510725,0.405363029008039,0.429577585954751,0.388430653980585,0.468636511524248,0.364197561478768,0.373739371667533,0.503581407317468
"sub-P3","psil",85.4539686925846,74.3488847010925,83.5481478438055,57.7533877736723,66.1526531415991,70.9318328214418,42.8051502752576,0.434734443264462,0.429878687570337,0.430544421022433,0.339741483969764,0.35666195758247,0.367337924428749,0.266483342863539,0.660579906616369,0.582576767255469,0.66701490188632,0.596973837214632,0.633537350977559,0.633265853994074,0.586129028971748,0.352698690673646,0.45586689381419,0.382557198329166,0.444100189845932,0.342317051387813,0.320518685057115,0.468562395458359
"sub-P3","mtp",106.295493060338,107.057819147857,138.4091785949,63.1560114132003,110.148202527438,93.0703271577957,40.2475928188913,0.504990250774822,0.533167468151455,0.626810518057808,0.359920559714137,0.506842275072738,0.443994602538783,0.255489145567343,0.684098661259658,0.608317645635523,0.694785013841292,0.606596867560868,0.688377249480836,0.668502275456507,0.562437831994774,0.347572411070083,0.329309510629115,0.325282459185057,0.425547311732322,0.271829263767979,0.312624525609951,0.535477970756805
"sub-P4","psil",166.181137913659,149.494412305661,178.643206473266,102.51755112611,145.941836529753,137.448644915337,32.8185622203582,0.725218472031375,0.675095398841354,0.778533252294663,0.495819523591179,0.647216836896827,0.607149968012832,0.216402449546252,0.756147556368265,0.705281212986741,0.759746654063388,0.699629406871978,0.733690332501515,0.75139703493126,0.575841118859786,0.221222731101934,0.260279989480267,0.215495002451484,0.212980987950962,0.193357140371497,0.194650923643962,0.434608968145993
"sub-P4","mtp",60.3955205392912,122.958927461091,117.218219479543,54.3546961389001,106.592989855139,55.6968538560589,36.3591315211023,0.32604215159697,0.557865958677639,0.529528252084635,0.324007504731509,0.487365020943513,0.304685113053217,0.23792848224624,0.663800584758172,0.648531078297637,0.6971649866985,0.606658004877561,0.670488811199742,0.668722982169139,0.603879294650935,0.353702590529984,0.282327632699004,0.290785899312907,0.390834434871449,0.262090131562139,0.334811312199132,0.535061995382457
"sub-P5","psil",103.60632306266,115.600430790342,116.703816123575,62.7356619164336,107.103780677775,96.0157980330059,43.5958974252421,0.485131412568129,0.53443052687263,0.534858055284322,0.359238065669696,0.492642926936106,0.451863480180979,0.266318959765985,0.704660217990256,0.658745297861737,0.698870357543802,0.662517318665477,0.69590042963746,0.697278606764138,0.63979772283511,0.44132486414388,0.395012072217878,0.411168471047661,0.441832893715629,0.396962140093374,0.427648561344225,0.538682451603346
"sub-P5","mtp",54.7760077143657,71.5687150692551,73.0703916678196,52.2619076484598,69.2085804756449,50.9989114488244,36.6392394780453,0.320511507442696,0.380690451865971,0.380543153879281,0.321582641093954,0.359510751272024,0.300911272614861,0.240513180648908,0.66276577068048,0.651138413103777,0.67112232873542,0.577209920851802,0.649020917645175,0.638762158199139,0.599298049604159,0.47140226812406,0.444300104480443,0.441353290453369,0.465717331959836,0.421130904476198,0.466159643029496,0.574090161744079
"sub-P6","psil",89.4094307118266,132.055574462002,125.596485142384,114.373449370349,106.462174850491,77.2983283911088,32.7347490151882,0.422766704231428,0.59203252719364,0.556847136427324,0.523853102815059,0.478208964595495,0.370125301449982,0.212226873712606,0.724214971644572,0.681612840840803,0.721524156974393,0.698882718379424,0.697868744614984,0.692421236147778,0.58383741416946,0.374382265286228,0.317286299205415,0.358101520383604,0.29985229580512,0.341175582533667,0.35384624588515,0.526981368733904
"sub-P6","mtp",55.537717460802,63.3440580441369,62.9243291921704,50.8636332724792,56.127697715591,51.3815262220284,46.3427572829083,0.327526531203214,0.354818757700912,0.355191159142042,0.318078021419661,0.321384234639786,0.306530584082913,0.279480367063576,0.673498687263021,0.643261352738967,0.679715982746185,0.619098189295312,0.632218972988285,0.653828844696827,0.604328063269801,0.49081073623033,0.462519891288011,0.473628811823104,0.501978081496955,0.45659283421098,0.481355495488176,0.539781895425777
