"pair","delta","d_z","d_av","p_value","p_FDR","BF10","BF01","bf_evidence"
"Cont ↔ Vis",0.0435777620346459,0.942360904934161,0.748280550649062,0.00262616940625912,0.0735327433752554,17.0017964619089,0.0588173139374075,"fuerte H1 (LSD != PLCB)"
"Default ↔ Subcortex",0.0510208873780889,0.83149033791191,0.822688716039284,0.00616588123907048,0.0863223373469867,8.30826081318502,0.120362133843105,"moderada H1"
"Cont ↔ Default",0.0399044106869386,0.725326315947455,0.758817079409908,0.0139264486650544,0.129980187540508,4.2476587715335,0.235423807275126,"moderada H1"
"Default ↔ DorsAttn",0.0425571392778191,0.636320115067147,0.821580238818868,0.0272740878230564,0.136215411923362,2.47230642279678,0.404480605955291,"anecdotica H1"
"Default ↔ SalVentAttn",0.0422430479781573,0.644129370379738,0.822447659984554,0.0257285919211796,0.136215411923362,2.58983655949029,0.386124752288156,"anecdotica H1"
"DorsAttn ↔ Vis",0.0523733586734509,0.627210930086496,0.634946131977323,0.0291890168407205,0.136215411923362,2.34261589056449,0.426873224939593,"anecdotica H1"
"Cont ↔ SalVentAttn",0.0341577274934235,0.551066305268275,0.522924994774695,0.0509876225190208,0.203950490076083,1.51397004720049,0.660515049058676,"anecdotica H1"
"Cont ↔ SomMot",0.0314989895100069,0.418549266729847,0.424717820864087,0.127307773574362,0.358367907475197,0.764742199071222,1.30763020690436,"anecdotica H0"
"DorsAttn ↔ SomMot",0.0388664179162918,0.4333469084342,0.442796668639245,0.115452154104333,0.358367907475197,0.820502304173951,1.21876562066058,"anecdotica H0"
"Limbic ↔ SalVentAttn",-0.0236218507790959,-0.417736339384612,-0.457751119558271,0.127988538383999,0.358367907475197,0.761828023966167,1.31263220640517,"anecdotica H0"
"SomMot ↔ Vis",-0.042580717377372,-0.402546453354185,-0.353392873137191,0.141297020085463,0.359665142035724,0.710047617614931,1.40835624990761,"anecdotica H0"
"Default ↔ Vis",0.0284938244251789,0.364020472338674,0.533499382536273,0.18041301835468,0.419796580903332,0.599008268382332,1.66942603764148,"anecdotica H0"
"SomMot ↔ Subcortex",-0.0222408759667955,-0.351504638071289,-0.380657096952438,0.194905555419404,0.419796580903332,0.568376442256993,1.75939733889929,"anecdotica H0"
"DorsAttn ↔ Subcortex",-0.0204836699432268,-0.338748008598513,-0.391413589291225,0.210637788433935,0.42127557686787,0.539552576207244,1.85338749937855,"anecdotica H0"
"Cont ↔ Subcortex",0.0177093737672319,0.320970020601509,0.349856832131404,0.234243263486977,0.437254091842357,0.503075911476688,1.98777158116094,"anecdotica H0"
"SalVentAttn ↔ Vis",0.0226306069951922,0.271504569061737,0.265783780875009,0.310826469582733,0.543946321769783,0.4208720069697,2.37601927293775,"anecdotica H0"
"Cont ↔ DorsAttn",-0.0121804627057569,-0.23775289611463,-0.26083325945297,0.372743369989716,0.549306018932213,0.378143883641175,2.64449603249146,"anecdotica H0"
"DorsAttn ↔ SalVentAttn",0.0167058164058645,0.240749403004124,0.21024340464953,0.366922677610187,0.549306018932213,0.381562838567416,2.62080029531837,"anecdotica H0"
"Limbic ↔ Vis",-0.015746723683886,-0.255771903584065,-0.365360699037648,0.338693758099751,0.549306018932213,0.39977057825948,2.5014347087617,"anecdotica H0"
"SalVentAttn ↔ Subcortex",0.0100537420790847,0.157319719756964,0.164769563421344,0.552088084463512,0.772923318248917,0.308707690342169,3.2393102967134,"moderada H0 (no efecto)"
"Cont ↔ Limbic",0.0045507837522606,0.0756351512756877,0.0904580706833805,0.773869820450797,0.900547393647548,0.272508933932867,3.66960446238564,"moderada H0 (no efecto)"
"Default ↔ SomMot",-0.00424229450376274,-0.0556360650674898,-0.0650783872538884,0.832502608247575,0.900547393647548,0.267806972955021,3.73403272127628,"moderada H0 (no efecto)"
"DorsAttn ↔ Limbic",-0.00496800916544951,-0.100024623332407,-0.0858951075485374,0.704290329519693,0.900547393647548,0.280330892032325,3.56721299158385,"moderada H0 (no efecto)"
"Limbic ↔ SomMot",-0.00675290317423022,-0.0802682497441628,-0.121656208122777,0.760474112507271,0.900547393647548,0.273814702498928,3.6521048390523,"moderada H0 (no efecto)"
"SalVentAttn ↔ SomMot",0.00486789790768616,0.054380480393744,0.0499913248380118,0.83622257981558,0.900547393647548,0.267561469446668,3.73745891763883,"moderada H0 (no efecto)"
"Subcortex ↔ Vis",0.00361329418877305,0.0635470656055422,0.0668143480831832,0.809163626739137,0.900547393647548,0.269487743384282,3.71074390041564,"moderada H0 (no efecto)"
"Default ↔ Limbic",-0.000977114806871728,-0.0183784298101022,-0.0191735854218055,0.944261836415025,0.979234497022989,0.262941597858097,3.80312589619112,"moderada H0 (no efecto)"
"Limbic ↔ Subcortex",0.000189245080248857,0.00359125614579554,0.00310279620157296,0.9890989491208,0.9890989491208,0.262373333393698,3.81136294251167,"moderada H0 (no efecto)"
