"pair","n","delta","d_z","t","p_one","BF10_one","p_FDR_one","significant_one"
"Default↔SomMot",15,-0.00424229450376271,-0.0556360650674894,-0.215477553454899,0.583748695876212,0.225590569219436,0.583748695876212,FALSE
"Default↔Vis",15,0.0284938244251789,0.364020472338674,1.40984522704624,0.0902065091773401,1.07356032918208,0.112758136471675,FALSE
"Default↔Subcortex",15,0.0510208873780889,0.83149033791191,3.22034823126521,0.00308294061953524,16.5341511311087,0.0077073515488381,TRUE
"Cont↔Vis",15,0.043577762034646,0.942360904934165,3.64974809092697,0.00131308470312952,33.9254296779611,0.0065654235156476,TRUE
"Cont↔SomMot",15,0.0314989895100069,0.418549266729848,1.62103433961203,0.0636538867871807,1.41359211274442,0.106089811311968,FALSE
