"net1","net2","subject","condition","connectivity"
"Cont","Default","sub-001","LSD",0.0704693797301698
"Cont","Default","sub-001","PLCB",0.0349533728778813
"Cont","Default","sub-002","LSD",0.133235715901828
"Cont","Default","sub-002","PLCB",0.0228078164191223
"Cont","Default","sub-003","LSD",0.107087144717196
"Cont","Default","sub-003","PLCB",0.137964083257582
"Cont","Default","sub-004","LSD",0.132377104441842
"Cont","Default","sub-004","PLCB",0.0837155336095658
"Cont","Default","sub-006","LSD",0.142192688809732
"Cont","Default","sub-006","PLCB",0.108395028887699
"Cont","Default","sub-009","LSD",0.0946655765277198
"Cont","Default","sub-009","PLCB",0.0177951605929143
"Cont","Default","sub-010","LSD",0.12420748452316
"Cont","Default","sub-010","PLCB",0.16728454924981
"Cont","Default","sub-011","LSD",0.0642884732703566
"Cont","Default","sub-011","PLCB",0.0176043006049452
"Cont","Default","sub-012","LSD",0.175610493492044
"Cont","Default","sub-012","PLCB",0.142168416971311
"Cont","Default","sub-013","LSD",0.0756574727607413
"Cont","Default","sub-013","PLCB",0.0349011253547201
"Cont","Default","sub-015","LSD",0.147679444779173
"Cont","Default","sub-015","PLCB",-0.00582342086959477
"Cont","Default","sub-017","LSD",0.199205540046696
"Cont","Default","sub-017","PLCB",0.170154417987847
"Cont","Default","sub-018","LSD",0.0269109849773573
"Cont","Default","sub-018","PLCB",0.0823673018355529
"Cont","Default","sub-019","LSD",0.10524833659022
"Cont","Default","sub-019","PLCB",0.0230080950532057
"Cont","Default","sub-020","LSD",0.0933727859592912
"Cont","Default","sub-020","PLCB",0.0563466843908859
"Cont","DorsAttn","sub-001","LSD",0.0525808657365568
"Cont","DorsAttn","sub-001","PLCB",0.0664436860979128
"Cont","DorsAttn","sub-002","LSD",0.143408137455794
"Cont","DorsAttn","sub-002","PLCB",0.0573121967646482
"Cont","DorsAttn","sub-003","LSD",0.0674949857944072
"Cont","DorsAttn","sub-003","PLCB",0.113258167543072
"Cont","DorsAttn","sub-004","LSD",0.118273687240644
"Cont","DorsAttn","sub-004","PLCB",0.0927959487526869
"Cont","DorsAttn","sub-006","LSD",0.0332083311887118
"Cont","DorsAttn","sub-006","PLCB",0.0322594622075166
"Cont","DorsAttn","sub-009","LSD",-0.0269158522274051
"Cont","DorsAttn","sub-009","PLCB",0.0561219055797016
"Cont","DorsAttn","sub-010","LSD",0.100870526914657
"Cont","DorsAttn","sub-010","PLCB",0.0981069419658266
"Cont","DorsAttn","sub-011","LSD",0.113048559198033
"Cont","DorsAttn","sub-011","PLCB",0.152787430902852
"Cont","DorsAttn","sub-012","LSD",0.157904777803343
"Cont","DorsAttn","sub-012","PLCB",0.157270186408227
"Cont","DorsAttn","sub-013","LSD",0.050775594071411
"Cont","DorsAttn","sub-013","PLCB",0.146106846758347
"Cont","DorsAttn","sub-015","LSD",0.176758610679744
"Cont","DorsAttn","sub-015","PLCB",0.122843226261353
"Cont","DorsAttn","sub-017","LSD",0.0594695488449155
"Cont","DorsAttn","sub-017","PLCB",0.115917638688046
"Cont","DorsAttn","sub-018","LSD",0.0914440874556036
"Cont","DorsAttn","sub-018","PLCB",0.128865265298822
"Cont","DorsAttn","sub-019","LSD",0.123148538192882
"Cont","DorsAttn","sub-019","PLCB",0.0725320686646599
"Cont","DorsAttn","sub-020","LSD",0.110863363317535
"Cont","DorsAttn","sub-020","PLCB",0.142419730359515
"Cont","Limbic","sub-001","LSD",-0.0528212532501391
"Cont","Limbic","sub-001","PLCB",0.0429843578824977
"Cont","Limbic","sub-002","LSD",0.0173206633333665
"Cont","Limbic","sub-002","PLCB",-0.0143353609696649
"Cont","Limbic","sub-003","LSD",0.0472041077268174
"Cont","Limbic","sub-003","PLCB",0.120268395893682
"Cont","Limbic","sub-004","LSD",0.0725635989934461
"Cont","Limbic","sub-004","PLCB",0.0719809538519488
"Cont","Limbic","sub-006","LSD",0.0409575258629298
"Cont","Limbic","sub-006","PLCB",0.0211510592734978
"Cont","Limbic","sub-009","LSD",0.00830293012052367
"Cont","Limbic","sub-009","PLCB",-0.0417243873117584
"Cont","Limbic","sub-010","LSD",0.00575741994014145
"Cont","Limbic","sub-010","PLCB",-0.0191843723703329
"Cont","Limbic","sub-011","LSD",5.87130805972055e-05
"Cont","Limbic","sub-011","PLCB",-0.00311537712759473
"Cont","Limbic","sub-012","LSD",0.133459435343298
"Cont","Limbic","sub-012","PLCB",0.0903335086686182
"Cont","Limbic","sub-013","LSD",0.0204391244595351
"Cont","Limbic","sub-013","PLCB",0.0353050578995849
"Cont","Limbic","sub-015","LSD",0.114103376962071
"Cont","Limbic","sub-015","PLCB",0.0142031598422919
"Cont","Limbic","sub-017","LSD",0.142647721745126
"Cont","Limbic","sub-017","PLCB",0.039136683737829
"Cont","Limbic","sub-018","LSD",-0.0271807667994819
"Cont","Limbic","sub-018","PLCB",0.0659299314000032
"Cont","Limbic","sub-019","LSD",0.03053826390279
"Cont","Limbic","sub-019","PLCB",0.0456524710578166
"Cont","Limbic","sub-020","LSD",0.0478235367209158
"Cont","Limbic","sub-020","PLCB",0.0643265601296082
"Cont","SalVentAttn","sub-001","LSD",0.0632429970351707
"Cont","SalVentAttn","sub-001","PLCB",0.0190322092265625
"Cont","SalVentAttn","sub-002","LSD",0.146589559371313
"Cont","SalVentAttn","sub-002","PLCB",0.0165469998709525
"Cont","SalVentAttn","sub-003","LSD",0.0856440653738668
"Cont","SalVentAttn","sub-003","PLCB",0.0574690119621086
