"condition","mean_Q_abs","mean_Q_signed","delta_Q_abs","delta_Q_signed"
"LSD",0.417197711858324,0.256955109106541,-0.0115751166500215,-0.0275878588479754
"PLCB",0.428772828508345,0.284542967954516,-0.0115751166500215,-0.0275878588479754
