"","Vis","SomMot","DorsAttn","SalVentAttn","Limbic","Cont","Default","Subcortex"
"Vis",NA,-0.0425807173773718,0.0523733586734511,0.0226306069951922,-0.015746723683886,0.043577762034646,0.0284938244251789,0.00361329418877301
"SomMot",-0.0425807173773718,NA,0.0388664179162919,0.00486789790768616,-0.00675290317423023,0.0314989895100069,-0.00424229450376271,-0.0222408759667956
"DorsAttn",0.0523733586734511,0.0388664179162919,NA,0.0167058164058646,-0.00496800916544949,-0.0121804627057569,0.0425571392778192,-0.0204836699432267
"SalVentAttn",0.0226306069951922,0.00486789790768616,0.0167058164058646,NA,-0.0236218507790959,0.0341577274934234,0.0422430479781573,0.0100537420790847
"Limbic",-0.015746723683886,-0.00675290317423023,-0.00496800916544949,-0.0236218507790959,NA,0.00455078375226065,-0.000977114806871737,0.000189245080248826
"Cont",0.043577762034646,0.0314989895100069,-0.0121804627057569,0.0341577274934234,0.00455078375226065,NA,0.0399044106869386,0.0177093737672319
"Default",0.0284938244251789,-0.00424229450376271,0.0425571392778192,0.0422430479781573,-0.000977114806871737,0.0399044106869386,NA,0.0510208873780889
"Subcortex",0.00361329418877301,-0.0222408759667956,-0.0204836699432267,0.0100537420790847,0.000189245080248826,0.0177093737672319,0.0510208873780889,NA
