"dataset","pipeline","has_gsr","metric","r","p_cor","p_wilcoxon","mean_diff_pct"
"ds006072","OC+Siegel",FALSE,"mean_strength",0.557624080803176,0.0595912983498773,0.00419259258389319,-28.4997295642304
"ds006072","OC+Siegel",FALSE,"global_efficiency",0.541928988413429,0.0687479143806172,0.0085899572511856,-17.7229617629668
"ds006072","OC+Siegel",FALSE,"clustering",0.69247724048435,0.0125623836386721,0.00326371690167023,-7.28080840959061
"ds006072","OC+Siegel",FALSE,"modularity",0.811841435882454,0.00134148594871339,0.00535526358980952,24.801005537221
"ds006072","OC+aCompCor",FALSE,"mean_strength",0.781715795996472,0.0026697128725843,0.0085899572511856,-16.3688555924983
"ds006072","OC+aCompCor",FALSE,"global_efficiency",0.773618543385553,0.00315617706936742,0.0085899572511856,-13.2028512750342
"ds006072","OC+aCompCor",FALSE,"clustering",0.692377192395527,0.0125804612485063,0.906329390836487,-0.560954969819129
"ds006072","OC+aCompCor",FALSE,"modularity",0.933031046603286,9.47363836929679e-06,0.00252617426850217,14.158671879617
"ds006072","TEDANA+24P",FALSE,"mean_strength",0.969421789579122,2.00008223658382e-07,0.00252617426850217,20.0691152785768
"ds006072","TEDANA+24P",FALSE,"global_efficiency",0.961680180485803,6.10136284009964e-07,0.00252617426850217,17.7292081276684
"ds006072","TEDANA+24P",FALSE,"clustering",0.716783737483086,0.00871078685833381,0.00326371690167023,4.10996481485366
"ds006072","TEDANA+24P",FALSE,"modularity",0.980473984381397,2.16337860421632e-08,0.0167287003897047,6.33362248048818
"ds006072","OC+36P+GSR",TRUE,"mean_strength",-0.654819145484839,0.0208390247426449,0.00252617426850217,-55.7153420351634
"ds006072","OC+36P+GSR",TRUE,"global_efficiency",-0.608064005944491,0.0359330464119715,0.00252617426850217,-43.6555156149171
"ds006072","OC+36P+GSR",TRUE,"clustering",-0.0303807198480636,0.925326880526854,0.00252617426850217,-13.374335399061
"ds006072","OC+36P+GSR",TRUE,"modularity",0.737707682433954,0.00616970980884675,0.00252617426850217,65.9574339513175
"ds006072","TEDANA",FALSE,"mean_strength",0.954480312234713,1.42564081239251e-06,0.00419259258389319,10.8317637190379
"ds006072","TEDANA",FALSE,"global_efficiency",0.945592906694424,3.4255787425976e-06,0.00252617426850217,13.7808251973556
"ds006072","TEDANA",FALSE,"clustering",0.51400834238294,0.0873505041857942,0.0546135439506891,-3.61740321363541
"ds006072","TEDANA",FALSE,"modularity",0.874165512654283,0.000200411145006686,0.0652572567829591,11.8877822623644
"ds006072","TEDANA+aCompCor",FALSE,"mean_strength",0.78181449184008,0.00266416025480584,0.84451926747294,-4.11800805489332
"ds006072","TEDANA+aCompCor",FALSE,"global_efficiency",0.778154430405007,0.00287604926049029,0.906329390836487,-1.69283821138237
"ds006072","TEDANA+aCompCor",FALSE,"clustering",0.694921178103259,0.0121267354419085,0.0546135439506891,2.58262991676349
"ds006072","TEDANA+aCompCor",FALSE,"modularity",0.929362352459924,1.22914658283213e-05,0.00252617426850217,21.0467133004989
