"dataset","pipeline","has_gsr","metric","r","p_cor","p_wilcoxon","mean_diff_pct"
"ds006072","OC+Siegel",FALSE,"mean_strength",0.219800411512162,0.49244815609927,0.0309840500984566,-16.6835742135412
"ds006072","OC+Siegel",FALSE,"global_efficiency",0.198203252843692,0.536896511257629,0.0652572567829591,-11.1536516443434
"ds006072","OC+Siegel",FALSE,"clustering",0.205264204475575,0.522180763569653,0.00326371690167023,-9.94993484588929
"ds006072","OC+Siegel",FALSE,"modularity",0.694193294338602,0.0122552959646755,0.666137204488317,4.37453366311127
"ds006072","OC+aCompCor",FALSE,"mean_strength",0.968207235947129,2.42515380608842e-07,0.00252617426850217,-11.6650489210819
"ds006072","OC+aCompCor",FALSE,"global_efficiency",0.96517396090599,3.80534941686226e-07,0.00252617426850217,-11.1807328248321
"ds006072","OC+aCompCor",FALSE,"clustering",0.782351516629995,0.00263410143313175,0.0085899572511856,-3.54882446123366
"ds006072","OC+aCompCor",FALSE,"modularity",0.977219488138161,4.6505782849769e-08,0.0107874492546704,-5.17619189981484
"ds006072","OC+36P+GSR",TRUE,"mean_strength",-0.215473107566968,0.501218583097313,0.00252617426850217,-50.7065181232587
"ds006072","OC+36P+GSR",TRUE,"global_efficiency",-0.254059456731107,0.425552465382599,0.00252617426850217,-40.5552852197497
"ds006072","OC+36P+GSR",TRUE,"clustering",-0.387375870544524,0.213457195723601,0.00252617426850217,-15.6189648662233
"ds006072","OC+36P+GSR",TRUE,"modularity",0.746393324510241,0.00529786623927848,0.00252617426850217,38.1378661892105
"ds006072","TEDANA",FALSE,"mean_strength",0.74524309550847,0.00540763064334977,0.0916805301459911,22.5221385807663
"ds006072","TEDANA",FALSE,"global_efficiency",0.74810704422578,0.00513745659054496,0.0134711970182132,18.9094419056422
"ds006072","TEDANA",FALSE,"clustering",0.826297959414686,0.000923041231697418,0.00252617426850217,-5.89206096365973
"ds006072","TEDANA",FALSE,"modularity",0.758133744300141,0.00427113898017253,0.326799567668966,-3.71988445580815
"ds006072","TEDANA+24P",FALSE,"mean_strength",0.79536199574566,0.00198160078667505,0.00252617426850217,31.9458916593768
"ds006072","TEDANA+24P",FALSE,"global_efficiency",0.798687897647886,0.00183671072939807,0.00252617426850217,22.4426787825962
"ds006072","TEDANA+24P",FALSE,"clustering",0.900255732059789,6.56282158947998e-05,0.0454587523438197,2.18997185777066
"ds006072","TEDANA+24P",FALSE,"modularity",0.921133045293638,2.10265213015438e-05,0.0085899572511856,-10.3024870005781
