id,label,x,y,z
1,7Networks_LH_Vis_1,-23.84220183486238,-53.03119266055046,-9.111926605504586
2,7Networks_LH_Vis_2,-25.375332741792363,-76.73114463176574,-13.472937000887313
3,7Networks_LH_Vis_3,-45.30398899587345,-69.35075653370014,-8.544704264099039
4,7Networks_LH_Vis_4,-9.620889748549317,-67.0174081237911,-4.557059961315275
5,7Networks_LH_Vis_5,-26.298429319371728,-94.95549738219896,-12.348167539267017
6,7Networks_LH_Vis_6,-14.125,-44.787499999999994,-2.950000000000003
7,7Networks_LH_Vis_7,-6.269905533063422,-92.9527665317139,-4.496626180836714
8,7Networks_LH_Vis_8,-47.140845070422536,-69.70140845070424,9.732394366197184
9,7Networks_LH_Vis_9,-22.565656565656568,-96.76767676767676,5.944444444444443
10,7Networks_LH_Vis_10,-12.07281001137656,-69.42662116040955,7.276450511945399
11,7Networks_LH_Vis_11,-39.89117291414752,-84.52962515114874,10.210399032648127
12,7Networks_LH_Vis_12,-12.23353293413173,-72.7065868263473,22.35329341317366
13,7Networks_LH_Vis_13,-8.723232323232324,-87.82020202020202,28.37373737373737
14,7Networks_LH_Vis_14,-23.0851334180432,-87.13087674714104,24.00508259212198
15,7Networks_LH_SomMot_1,-50.51013513513514,-5.050675675675677,-2.1554054054054035
16,7Networks_LH_SomMot_2,-52.53350189633375,-24.8621997471555,9.261694058154234
17,7Networks_LH_SomMot_3,-36.92121212121212,-20.961616161616163,15.280808080808086
18,7Networks_LH_SomMot_4,-54.92901234567901,-4.478395061728392,10.228395061728392
19,7Networks_LH_SomMot_5,-52.935064935064936,-22.441558441558442,18.36363636363636
20,7Networks_LH_SomMot_6,-56.153664302600475,-8.224586288416077,30.40425531914893
21,7Networks_LH_SomMot_7,-47.26095238095238,-8.971428571428575,46.27809523809523
22,7Networks_LH_SomMot_8,-7.402750491159139,-12.444007858546172,46.13752455795678
23,7Networks_LH_SomMot_9,-48.26573426573427,-28.31701631701631,57.002331002331005
24,7Networks_LH_SomMot_10,-39.44525547445255,-23.952554744525543,57.48540145985402
25,7Networks_LH_SomMot_11,-30.630434782608695,-46.277173913043484,62.54891304347825
26,7Networks_LH_SomMot_12,-31.298869143780294,-19.76090468497577,63.8416801292407
27,7Networks_LH_SomMot_13,-26.09214092140921,-38.05962059620596,67.4308943089431
28,7Networks_LH_SomMot_14,-20.26887661141805,-10.600368324125228,68.06998158379375
29,7Networks_LH_SomMot_15,-7.136633663366339,-30.801980198019805,66.61782178217823
30,7Networks_LH_SomMot_16,-19.0896551724138,-30.813793103448276,67.68965517241378
31,7Networks_LH_DorsAttn_Post_1,-43.358520900321544,-48.23633440514469,-19.364951768488744
32,7Networks_LH_DorsAttn_Post_2,-56.993650793650794,-60.209523809523816,-1.3619047619047677
33,7Networks_LH_DorsAttn_Post_3,-25.77031802120142,-69.8303886925795,38.20141342756183
34,7Networks_LH_DorsAttn_Post_4,-54.00763358778626,-26.3854961832061,41.96564885496183
35,7Networks_LH_DorsAttn_Post_5,-40.74201474201474,-35.14004914004914,47.77395577395578
36,7Networks_LH_DorsAttn_Post_6,-33.259803921568626,-48.867647058823536,47.16176470588235
