"metric","mean_PSIL","mean_MTP","diff","p_value","p_wilcox","d_z","d_av","shapiro_p","method","p_FDR","significant"
"eigenvector",0.681415683178938,0.600867590669663,0.0805480925092749,0.0271631279898329,0.0591720678258594,1.26143843965516,1.78478067565443,0.530700848357221,"parallel (t + Wilcoxon)",0.117426513820221,FALSE
"betweenness",81.6824712643678,108.931752873563,-27.2492816091954,0.047701145008096,0.0591720678258594,-1.06530582356563,-1.34479931649018,0.674178938104076,"parallel (t + Wilcoxon)",0.117426513820221,FALSE
"participation",0.276862278798134,0.302943085021016,-0.0260808062228817,0.0417058648007336,0.0360316862182336,-1.11100230107444,-0.38299391352046,0.493578677123876,"parallel (t + Wilcoxon)",0.117426513820221,FALSE
"closeness",0.0034176675807688,0.0035329544779309,-0.000115286897162102,0.947299107301648,1,-0.0283659638346467,-0.044259944047362,0.634271045070084,"parallel (t + Wilcoxon)",0.947299107301648,FALSE
